Best genes by generation:
Generation 1, Fitness 86: LDUULUUUDURDUDURDRUDDLURUUUDDLDDLULDRRRLURULLDLLLUUURUULDLDLRLRRDLUDLRDUUDDRDDDURRRRDLUDRDDRLDLDLUDRLUDRDDDLLDDDLLLDLLDDURULLLRUUDDDULUURRDDDDURRUUDLRLULULDRLDDUDDRDLDRRRLURDLULRLURURDRDDDULULDRRLRLDRDRLDUDRLURULDLLRDDDLUDUDDDUDDLUDDRDDDDDLDLUUULRDDDLRDLDRULLDRLUDDURLRDURRURULLLDDUUDUUDURLURLLLRLUUDRLDLRUURDDLUULUURUURLULULDRUDDURLLDLRURDURLDDLUDLLDLUDDLDUDLUDLLDLLLUUDLUDLDURLUUUULLURRDLLLDUUUDRRR
Generation 2, Fitness 118: LDLRULULLLRUDDURDUURUDULDDLLURDLDDDUDLRLUULDDUDUULDDRLURDRDDRUDUULRDLUUDUURRDULLLLRDLURDUUDUURLULUURUDDULRUURRDLUDULRULLLLRUUDLDRDRDLRRUDRRULRRDDLRLLUDLLDUUDDRRULUULDDULRULLRUUULRDRRUUDDUDURUDDULRDUUUURDDDUUURRDRDUULRURRLDRRLRDDRRURRRUURLURRULLDLLRRLLUUULDUDURRRLRUDDDDUDLULLRUUULUUDLDRDDDUUDRULUDDLURRDLRRRDUDRURRULDRLDLRRURDRRURLLDULUURDLDDUUURDDRUDLULDRRUURDRLURDLUUUULURULUURDLLLDRULRLLUDDLLDUDUL
Generation 3, Fitness 118: LDLRULULLLRUDDURDUURUDULDDLLURDLDDDUDLRLUULDDUDUULDDRLURDRDDRUUUULRDLUUDUURRDULLLLRDLURDUUDUURLULUURUDDULRUURRDLUDULRULLLLRUUDLDRDRDLRRUDRRULRRDDLRLLUDLLDUUDDRRULUULDDULRULLRUUULRDRRUUDDUDURUDDULRDUUUURDDDUUURRDRDUULRDRRLDRRLRDDRRURRRUURLURRULLDLLRRLLUUULDUDURRRLRUDDDDUDLULLRUUULUDLDUUUDRUDURDRRRRRUDUURLLLLRLRRULUULLRUDLRRRLLRLURLDRDDULLDDRUDDUUDUDRURLLDLLLDURLRDDLLURLRDRRLDRULRULUDRUURDURDLUDRUDL
Generation 4, Fitness 112: LDLRULULLLRUDDURDUURUDULDDLLURDLDDDUDLRLUULDDUDUULDDRLURDRDDRUUUULRDLUUDUURRDULLLLRDLURDUUDUURLULUURUDDULRUURRDLUDULRULLLLRUUDLDRDRDLRRUDLRULRRDDLLLLUDLLDUUDDRRULUULDDULRULLRUUULRDRRUUDDUDURUDDULRDUUUURDDDUUURRDRDUULRDRRLDRRLRDDRRURRRUURLURRULLDLLRRLLUUULDUDURRRLRUDDDUUDLULLRUUULUDLDUURRRRUULURURRDLLRULLLLRRRUDURRLRLRUDULLRLRLLULLULDRUULLLRUURDULUUDRUUURDDRRURDDLULURDUDLDRDDURRUULDUURRULDLLUDLLLRD
Generation 5, Fitness 112: LDLRULULLLRUDDURDUURUDULDDLLURDLDDDUDLRLUULDDUDUULDDRLURDRDDRUUUULRDLUUDUURRDULLLLRDLURDUUDUURLULUURUDDULRUURRDLUDULRULLLLRUUDLDRDRDLRRUDLRULRRDDLLLLUDLLDUUDDRRULUULDDULRULLRUUULRDRRUUDDUDURUDDULRDUDUUUDDDUUURRDRDUULRDRRLDDRLRDDRRURDRUURLURRULLDLLRRLLUUULDUDURRRLUULRDUDDRURRLUUDLULLRRRRULDRLUUULRDDRRULLLDRLLLRUDLDUULLLLRURLURDDRLDDLRUDRULDULLRURDURRDRLUUUDRDRULDLLUURLLUDLLUDLLDDURDLDRLUDLDDRDLUDUL
Generation 6, Fitness 106: LLDUDUUDRDLLULLDUDDDDRLRLRLDURLURDDRDRDRDURLUUUULDULRDDUUUUULLUDDRDLDDURDULDURDLRURDRRRUUUULUUDLDURLRURULRURUDUDURRLLUDRRULLLDLLURDLRRUDRDRUDUDRUDLURRLRRRURRRLUDDUUULRDULDDRURDRDDUDLRRRRURDUURUUUDRUULLDDRRDULLUDRLRLLDLRRUDUDUUDURUDDUDDDDDLUURRUDDUDLURUUURLRLUULDLDDDDLDDDDRLRURLRRUULRDDRDURULUDRRDDDRDDDURULRDLRRRUDLDURDDRRUUDURUDRDDRRLUUULRDDULRRDRLRULRDLDDLLDLLLRDLURULDRLLULLDRRDUDRLLLUUURUULDDLDU
Generation 7, Fitness 107: LLDUDUUDRDLLULLDUDDDDDLRLRLDURLURDDRDRDRDURLUUUULDULRDDUUUUULLUDDRDLDDURDULDURDLRURDRRRUUUULUUDLDURLRURULRURUDUDURRLLUDRRULLLDLLURDLRRUDRDRUDUDRUDLURRLRRRURRRLUDDUUULRDULDDRURDRDDUDLRRRRURDUURUUUDRUULLDDRRDULLUDRLRLLDLRRUDUDUUDURUDDUDDDDDLUURRURUURDLRULULRRRDRURRULLURLLLRLDULLDUUDULURDUUDLDUUURLDRRLDLUUUDLURRDLDRDRUDDLRDURRURUDLULRDLDDRLDURDURDLDULRLDRULUDRDRDDLUDUURLUDLRDULRDRDDRLDRLUDULRRUDLDDUU
Generation 8, Fitness 107: LLDUDUUDRDLLULLDUDDDDDLRLRLDURLURDDRDRDRDURLUUUULDULRDDUUUUULLUDDRDLDDURDULDURDLRURDRRRUUUULUUDLDURLRURULRURUDUDURRLLUDRRULLLDLLURDLRRUDRDRUDUDRUDLURRLRRRURRRLUDDUUULRDULDDRURDRDDUDLRRRRURDUURUUUDRUULLDDRRDULLUDRLRLLDLRRUDUDUUDURUDDUDDDDDLUURRURUURDLRULULRRRDRURRULLURLLLRLDULLDUUDULURDUUDLDUUURLDRRLDLUUUDLURRDLDRDRUDDLRDURRURUDLULRDLDDRLDURDURDLDULRLDRULUDRDRDDLUDUURLUDLRDULRDRDDRLDRLUDULRRUDLDDUU
Generation 9, Fitness 115: LLDUDUUDRDLLULLDUDDDDRLRLRLDURLURDDRDRDRDURLUUUULDULRDDUUUUULLUUDRDLDDULDULDDRDRRURDRRRUUUULLULLDURLDURDLRURUDUDURRLLUDRRULLLDLLUUDLRRUDRDRUDUDRUDLLRRLRRRURRRLUDDDDDUDUDRLURDLLUUDUUUUDUURUURDUDDLRLRLUURLDRLDRUDDLDDLRUULLDLRUDUDDRDRULDRLRRLLULLURLRLLRUUDLDLUDURRDLURDURRDRDLRLRUUULUDRDUURRRRUULURURRDLLRULDLRRDRUDURRLDLRUDRLLRURLLULLULDRUULLLRRURRUDUUDDUUURDURRURLLRLULRULDRLLULDDRRDUDRLDRUUURLULDRURR
Generation 10, Fitness 118: RLLLULLDLDDDLLLLLLLLULDRRDUURUUURUDLDLRRRDUDULDDUDDURDDRLLRRLRDRLRRRURUULLUUUDURRURULRDRDULDUUDDUUULURDDRRUULUUULUDDLRURDLUDDRLRDRRDDURDLLRLRDURURURRURLULRRURRRRRRRDRLDLRRUUDRRUUUDLRDRLRLDLDUDDRDUDULLLULLUDUDDRRLRRRLRRUURLLDRUDLURUULURULRLLDRRLURDULUURDRDUDURRUURURRDUUDURRRDURULURRRUURLLUULDDLRLLLDDRULDUDRURLLRRDDULLRULLURUULULLLRLDRLLDLLLLDURDLRULLLDLUDRUULULDDLRRUDUULLLLDRLLLURUUURLLLRUUUUDRRUDD
Generation 11, Fitness 123: LLULLDRLUURURRRRLDUDRUURLRLDURLURDDRDRDRDURLUUUULDURRDDUUUUULLUUDRRLDDULDULDDRDRRURDRRRUUUULLULLDURLDURDLRURUDUDURRLLUDRRULLLDLLUUDLRRUDRDRUDUDRUDLLRRLRRRURRRLUDDDDDUDUDRLURDLLUUDUUUUDUURUURDUDDLRLRLUURLDRLDRUDDLDDLRUULLDLRUDUDDRDRULDRLRRLLULLURLRLLRUUDLDLUDURRDLURDURRDRDLRLRUUULUDRDUURRRRUULURURRDLLRULDLRRDRUDURRLDLRUDRLLRURLLULLULLRUULLLRRURRUDUUDDUUURDRRRURULRLULRULDRLLULDDRRDUDRLUDUUURLULDRURR
