Best genes by generation:
Generation 1, Fitness 88.835: RDULDLRRLRRRDDLULRRUURURUURDLURUDRLRURLDRRRULULUULLRRDURRRRULDDRDLDLLRLUDLLRDLRRLLURRUDUDLLLDUDDDRULLUULULLDULRUDURLDLRRULLUDLLLDURDLLUULDDLRRURDRUDRRRUDUUDLLDDUURDRLDDDDLRUDUUULUURDLURDURUULDUDDDDRDUULULULLDLUULUDDUUDLRUUDURRDUDDRRRDLLLLDLRRUDDRUDLRDURULUULDRURULRLULLULRDRDRRLDDLLRLDRDLLRDUDLDUDLDULULLDUURUULDLUDLLDDLDULLDRLRLLUULUULRUUURRDRRULLURRDDLLRLURDRULRDLUURRDLUUDDRDLLUDRDULRRRRRDRRUULDLULULRDLRDDRRURDRUDLUDDLURUDRLLURLRDLDLLDRLDDDDUULDDDLURLRUDUURRUDURLDDRLUUDDURDRDRURULDDLDRDRDURLRULR
Generation 2, Fitness 104.995: LLUDRLUULDDLRDDURLRDDDLLUDDLDLURRLDLULLLRUUUULUULRLLUUDRRRDURLDUDRULDLDUUUDULUDLUULLULRULDLDUUUULLDDRRRRLRRLDRDDLRUULLLDLURDDURLLRRRDUURLRRDDUURRRRLLULDDDDUUUDUUDRRULLLLDUDDDRURDDULULUDUDRURUUUDURRRDDULDRLDUURUURDURLDUULUDRLRLDRDLLLUULDLLLUDRRRURRRURRULDDLRUURDDUURLDDUUUUDUURRRDRLRLRUUDUUUULLRRLLRUULDRRRDDUDLRULDULRDULLDDURUDULURLUUUDDRLDLDLUDLLLRDUDURLULDRUUDDRRRRRRLDDURLDDRURLUDLUDURULDLRRRRURURLRUDLUUDLDRLRUUDUURRLLRDLRLDULLRLRRURLDRLUDUUDLUUULDDUULUDRRDLRRUDULUDRRULLLULRDDLDLUULURLRLLLDLRUUU
Generation 3, Fitness 101.975: LLUDRLUULDDLRDDURLRDDDLLUDDLDLURRLDLULLLRUUUULUULRLLUUDRRRDURLDUDRULDLDUUUDULUDLUULLULRLLDLDUUUULLDDRRRRLRRLDRDDLRUULLLDLURDDURLLRRRDUURLRRDDUURRRRLLULDDDDUUUDUUDRRULLLLDUDDDRURDDULULUDUDRURUUUDURRRDDULLRLDUURUURDURLDUULUDDLRLDRDLLLUULDLRRLRURULUDLURULLDRLLDULUDULLRDRRRRUDLRDDDLDDDRRRUDRLUDDDUDDRDDDRURURLURLUDDLUDDUDLDLRDURUDUDLULLDULLURLDDRRRUULULDDDLULLDLLRRRURRULRUDRUUURULUDRUURURRLUUDUDUURDLUDDRRLDRURDDDUUDRLLLLUUDUUURLDDRLDULDDUDRURRDDULUDRULLDRDLLDDULRLUDUUDLUURUDDURDLRLRLLDLUDDLUDLDLRDRLR
Generation 4, Fitness 101.975: LLUDRLUULDDLRDDURLRDDDLLUDDLDLURRLDLULLLRUUUULUULRLLUUDRRRDURLDUDRULDLDUUUDULUDLUULLULRLLDLDUUUULLDDRRRRLRRLDRDDLRUULLLDLURDDURLLRRRDUURLRRDDUURRRRLLULDDDDUUUDUUDRRULLLLDUDDDRURDDULULUDUDRURUUUDUURRDDULLRLDUURUURDURLDUULUDDLRLDRDULLUULDLRRLRURULUDLURULLDRLLDULUDULLRDDRRRUDLRDDDLDDDRRRUDRLUDDDUDDLDDDRURURLURLUDDLUDDUDLDLRDURUDUDLULLDULLURLDDRRRLULULDDDLULLDLLRRULUURDDDLLDLDLULDLLDRURRUUDUDUURUULLLRRURUDDDUDDLLRDLURLRLDUDUUUUDRRLDLRDDLRLLULULLLRRRRLLDLRRDDRRULLRUUDLLURLDLURRURRLULDRURDUDUUURRRLRUR
Generation 5, Fitness 122.075: LLRURLRULULLLDDLLLURDRLRDLRDLLLLULLLRURDRLLUULRLLLULLUDRLDURUDLLLLDUUURLDURRLLDDLRDDRURRLULDUUUULLDDDRRRLRRLDRDDLRUULLLDLURDDURLLRRRDUURLRRDDUURRRRLLULDDDDUUUDUUDRRULLLLDUUDDRURDDULLLUDUDRURUUUDURRRDDULLRLDUULUURDURLDUULUDDLRLDRDLLLUULDLRDLRURURUDLURULLDRLLDULUDULLRDRRRUUDLRDLRLDDDRRRULRLUDDDUDDRDDDRURURLURLUDDLUDUUDLDLRDURUDURLULLRULLURLDDRRRUULULDDDLULLDLLDRRURRULRUDRDUURDLURRUURURRLUUDUDUURDLUDDRULDRURDDDURDRLLLLUUDUUURLDDRDDUUDDUDRURRDDULUDRULLDRDLLDDULRLUDUUDLUURUDDURDLRRRLLDLUDDLUDLDLRDRLR
Generation 6, Fitness 126.875: RLLRULRRULLDDULLDRRLUULUDDDDLLRRLLRLULURLRUUUDULLRDLDRDDUDDDURRDRULRDRLDDDDRDRDRDRLUDRUUUDLRRDLLRRDDLLRUDUDULLRDDDRUDRDUURRDRRURUURLDLLLRDDDDRRRUURRDDDDLULDRDRDDRDRULRLLDDRDDRLLRRRUUULLRURDLDRRDDDDUDDUDDLRDDURULUUUURUURDUUDLLUUUDLRURLURRDDLDRUUDRLULDDRUDRDLDRRDLLDRRRUDRRULRLDLUURRULDDUURRRUURRLDLLLDDDLRLRULRURRLLURDRURRLDLDLRRULDUDRLDRLDDLURRRRUUUULULDURRDUDLRRRRDRDDUDURDDUULDDURRLLDURRLRDUULLLRLLRDULULRRDDDRULLLLLDLLLDDLDLLUDLRRRDLRDLDULRLRUULRLRRRRRRUULDUUURLRRLDLULLDURUDRRLRRLDDLLULDULDDLLRUU
Generation 7, Fitness 126.875: RLLRULRRULLDDULLDRRLUULUDDDDLLRRLLRLULURLRUUUDULLRDLDRDDUDDDURRDRULRDRLDDDDRDRDRDRLUDRUUUDLRRDLLRRDDLLRUDUDULLRDDDRUDRDUURRDRRURUURLDLLLRDDDDRRRUURRDDDDLULDRDRDDRDRULRLLDDRDDRLLRRRUUULLRURDLDRRDDDDUDDUDDLRDDURULUUUURUURDUUDLLUUUDLRURLURRDDLDRUUDRLULDDRUDRDLDRRDLLDRRRUDRRULRLDLUURRULDDUURRRUURRLDLLLDDDLRLRULRURRLLURDRURRLDLDLRRULDUDRLDRLDDLURRRRUUUULULDURRDUDLRRRRDRDDUDURDDUULDDURRLLDURRLRDUULLLRLLRDULULRRDDDRULLLLLDLLLDDLDLLUDLRRRDLRDLDULRLRUULRLRRRRRRUULDUUURLRRLDLULLDURUDRRLRRLDDLLULDULDDLLRUU
Generation 8, Fitness 138.32: LLUDRLUULDDLRDDURLRDDDLLUDDLDLURRLDLULLLRUUUULUULRLLUUDRRRDURLDDRULRDRLDDDDRDRURDRLUDRUUUDRURLLLLURRULURDDRUURURULUURDRRUDDURDURLUDRULDRRRDDLLUDDRDRULRLRRDURRULDLDLLLRUDULRDDLUDRUULRUDLDLDUDULLLURLULRRLLDLRLURRLDDDLLRLDLLRLULRLULLLRLUUULLDLLLLUDRDRLDLUULDULLURDLDDDURDRRRRRRURDRDRRDDUUDRDRRLDURRULRUDDDURULDRUURLLDLRRLLDDULLRRLULURUDLLULDLLLRDLRDLULDRLDDRLRURDLLRDDUDDDDUDURLULRDULLRULDDDULUDDDDRDLUDLUDUDURDLLRDULRDRRDLLRRDRLRLLUUUDUDURUUUDLURRRDUDRUULUURDRLRLUDRRLDULDLUUURUUUDLUUULLLURDDUDUULRLDLD
Generation 9, Fitness 168.585: LDUULDLLUULLDULULRDLUDRLRDDLDLURRLDLULLLRUUUULUULRLLUDDRRRDURLDLDRLLDLDUUUDULUDLUULLULRULDLDUUUULLDDRRRRLRRLDRDDURUULLLLLURUDURLLDRRDUURLRRDDUURRRRLUULDDDRUUUDUULURULLULUUDDDDDLDUDLDRLULLLUDUUUDURRRDDULRDRUURUUDLDURUULDDUULLRRDUUULURULDLLDRDUDDDLDUUDLURUUULDURRUULRURRDLLLRULDURULUDRUULDDRRRLRDLURURRRUDLLRDRLRLLRDLURRRLLDRULURDRULUULDRRUDLURUUUURDRRLRRRRRRLDRDDUULLLRUUUUULRURLDLUUURDRURLDLLLDRRRLRRDRLDLLDURLLRUDUUDDRRDRRLLDDRLDLDDUDUULDDUDRDULLDLRDRURRURLLRURLRUURLLLDUDRDDRDULURUUDRRLDDDLLRRUDDUU
Generation 10, Fitness 168.585: LDUULDLLUULLDULULRDLUDRLRDDLDLURRLDLULLLRUUUULUULRLLUDDRRRDURLDLDRLLDLDUUUDULUDLUULLULRULDLDUUUULLDDRRRRLRRLDRDDURUULLLLLURUDURLLDRRDUURLRRDDUURRRRLUULDDDRUUUDUULURULLULUUDDDDDLDUDLDRLULLLUDUUUDURRRDDULRDRUURUUDLDURUULDDUULLRRDUUULURULDLLDRDUDDDLDUUDLURUUULDURRUULRURRDLLLRULDURULUDRUULDDRRRLRDLURURRRUDLLRDRLRLLRDLURRRLLDRULURDRULUULDRRUDLURUUUURDRRLRRRRRRLDRDDUULLLRUUUUULRURLDLUUURDRURLDLLLDRRRLRRDRLDLLDURLLRUDUUDDRRDRRLLDDRLDLDDUDUULDDUDRDULLDLRDRURRURLLRURLRUURLLLDUDRDDRDULURUUDRRLDDDLLRRUDDUU
Generation 11, Fitness 182.055: LDUULDLLUULLDULLLRDLUDRLRDDLDLURRLDLULLLRUUUULUULRLLUDDRRRDURLDLDRLLDLDUUUDULUDLUULLULRULDLDUUUULLDDRRRRLRRLDRDDURUULLLLLURUDURLLDRRDUUDLURDDUURRRRLDULDDDRUUUDUULURULLULUUDDDDDLDUDLDRLULLLUDUUUDUDRRDDULRDRUUUUUDLDURUULDDUULLLRDUUULULLLDLDDLDRDRUUDRRRLULDLUDDLDDLRRDDURULLDRDDLLULDDUDRLDLLRLLUDLURLRRDDRULRLRLDURUDDRURURRRLLLDLUULLDURDLLUURLRUURULRRLRLDLLRRUDDRURLLRRDDDUUDRURDLUULURLLLDUURRDLUDRULLDULDUUDUDLLRLLLLURDRURLDRULLULDRLUURLDDLRDLLDRDRLDRLDUUUUUDLULULRUDLLRULRDDRRRLURDDDRRDULRRDURDLLDRLRL
