Best genes by generation:
Generation 1, Fitness 2180: LUULDLLRRLLUULUDRLLDLLUDUURDDLDULRRLDLLLDURUURDUDUURLRLDRRRDULLURUURLDLLDULRDRRRDLULRRLLDUDLRLLRURLRRDRUUDULRRRLDURRUDUURLRLLDLUUDULDDULRDRLUDRUURLRDDDLDDRURLRLRDLULUURLRRRLDDLRURULRURLLDUDRLLRUDLRULRDRURRRUUDLRULDLRULDLDULRRURLLUDDRLUUDRRLLDRRDUURDLLUDDUULLDURDRRUUDLURLLLDLUDUUDDLRLDUDDUUDDDDULDLUDLDDLUDRLDDDRRLRLRRDUDUUURURDURURLULLRRDDDRLRLLDDRUDDDUDUULLDDLLULRLDDURRLRULLUDURULLUURDDULULULDULULRUURDDDDLRDUDDULLUDLDUUUUURURUDRLDRLLDLLRUDLUUUDURDLRLURLLDRDULURLRDURDUURURRLRLLRDURDDRLDLDLRULDDUDDRDDRLRUDULUULRULULUURDRLDLUDLDDDLURDDUDRDRUULULUUDDUDDULUULLRULDRLULDRRURUDRURRDRULDLDLDLRLLLDDDDRLLURDRRRULLLURULLRRURLLUDDRDRDLRRUDDDDLURDUDURDUDUDDDDLDRDRLRLURDLLUURDRDDUURDRLLRUDLUULDUURRUDUDRLLLDDRUURDRLURLUDRRULLLUDLDRLUDLURDULDUDLDUUDUUDRRDLRDDRLRLDDLUDLDRDRRUULURULLURLRLURDRULDRULURUDUDULUUUUUURDRLURRUUDLRDLULDULLDDRRDDDULRLUURRULLURURDDUDURLRRULUDDRRRRULUDDULLRRLRUDURRDDLUURRLULLLDDLDUUURULLDURUDULDDLUDLURRUUURRDLDLURRRRDDDUDUDURRULDLLLRULDUUUDDDDRUDRURUDRLLURURDDULDLDUDLUDRLDUUDRLLRLD
Generation 2, Fitness 2380: LUULDLLRRLLUULUDRLLDLLUDUURDDLDULRULDLLLDURUURDUDUURLRLDRRRDULLURUURLLLLDULRDRRRDLULRRLLDUDLRLLRURLRRDRUUDULRRRLDURRUDUURLRLLDLUUDULDDULRDRLUDRUURLRDDDLDDRURLRLRDLULUURLRRRLDDLRURULRURLLDUDRLLRUDLRULRDRURRRUUDLRULDLRULDLDULRRURLLLDDRLUUDRRLLDRRDUURDLLUDDUULLDURDRRUUDLURLLLDLULULDDLRLDUDDUUDDDDULDLUDLDDLUDRLDDDRRLRLRRDUDUUURURDURURLULLRRDDDRLRLLDDRUDDDUDUULLDDLLDLRLDDURRLRULLUDURUULLRRLRURULRUDRULLLURDLUUDUURRRRULDDULLULLLDRLLRRUDLLUUUUUDUULRDURDDURRLDLRDLLRUDUULDRDUDDDDULUDDDRRRLURRLDDUULRRDRDDLUULDURDUDDRULDDLLLUUDULURDRRULRULDLDLDUDLUULUDULDDLURRDLLLLLUURRRLDRDDRLULDLRDUDDUULRDDLDULDRLLRDURULDUURURRLLUDLLDULURLURDLRDULLLUUDDULDDLUULDRUDRDRDUDLDRRDDDRDDDRRURUURRRURRRDDDDRLUDDLLRRURLULUDRDLURULDDDUDRULURURULURDUUULLDDLDDURDDULDUDLLLLURUULULLRUDLDDLLDRDRRDULDLLUUDULULDURRDDDDLRRUURRDRULDURURDURLDRRDULDLLDDLUDULRLDDRUUDULLLUDLLUDLDLURUUURLURLUDRLRURUULRRUDUULRRRDDUDDDDLDLDDLDLULLDDDULRLUDUDDRURLURDDDRLLRLULRRDLDRUDRLRLLUURDUDURLURUURRDRRDUDLRRURULRLLLRLRLRURRRURUUUDRRDRDRDDRRRLUDUDRLRDRU
Generation 3, Fitness 2380: LUULDLLRRLLUULUDRLLDLLUDUURDDLDULRULDLLLDURUURDUDUURLRLDRRRDULLURUURLLLLDULRDRRRDLULRRLLDUDLRLLRURLRRDRUUDULRRRLDURRUDUURLRLLDLUUDULDDULRDRLUDRUURLRDDDLDDRURLRLRDLULUURLRRRLDDLRURULRLRLLDUDRLLRUDLRULRDRURRRUUDLRULDLRULDLDULRRURLLLDDRLUUDRRLLDRRDUURDLLDDDUULLDURDRRUUDLURLLLDLULULDDLRLDUDDUUDDDDULDLUDLDDLUDRLDDDRRLRLRUDUDUUURURDURURLULLRRDDDRLRLLDDRUDDDUDUUDLDDLLDLRLUDURRLRULLUDURUUDLRRLRURULRUDRULLLURDLUUDUURRRRULDDULRUULLDRLLRRUDLLUUUUUDUULRDURDDURRLDLRDLLRUDUULDRDUDDDRULUDDDRRRLDRRLDDUULRRDRDDLUULDURDUDDRULDDLLLUUDULURDRRULRULDLDLDUDLUULUDURDDLURRDLLLLDUURRRLDRDDRLULDLRDUDDUULRDRLDULDRLLRDURULDUURURRLLUDLLDULUULUDDLRDULDLDUDDULDDRUULDRUURDRDUDLDRRDLDRDDDDLLLDDLRLDRLRLRLDULLRDLRULLRDDLDRULLURRLDULULDUDDURRURULUDLURLRUDLLLDUDRULRRRRLLRURLLDUDLRRURLRRDRRLLLDUURLDDDLDRRDLDURLLULRRRURRRDRDLRUDUDLDRDULUDULDDDRURDDDDRUDLRRLRLURDDURURURDULLRDUDULDLDLURDDLRLRLULLURRUDDUDDLRRUDLDRURLDRDLDRRURUDLRDLURLRDLLDDLUULLULRRRUULUDULLLULRRURRUUDRLURLURRULRLRDDRDRDLRRURULDDRLRUDRRUURLLUUDUDDUURRUDRRDLRDLL
Generation 4, Fitness 2500: RDRLUULRDRDLDRRDLLDURLLLLDDURLDUULLRDRLUULDUULLRDULUUUUDDDLDRLURUDLLUDUULLLUUDLLUUUDURRDDLLRLUDRLDURLRRURLLDDDDURLLLRLLUULDLULDDUUDLRLLURLRDLLUDRURDRRULDDDDLUUURLDDUUDRLLLLDDULLURUDDDDRDDULRLDUUUURRDRRURUULRUDLLDDRUDRDRDLUDRUULDLDURDUULDRLDRLLDLDLRLDLDRDUURULLRLRDDUDRRDRDDDRUDDLUURRLLLUDLDUDRDULLLLULLURLDURDDDLRURRLLDDLRDDDUULRRLLRLRDDUDLURLUDURLLDULUDUULRLDRDRLRLDLLUUDDDDURULUDLLLULRLLDLURLLDDLDULDDLDDRRURURDLLUDUULRDURLDRDUUUURRDRLDDURURLDDDUULLLUDURRLLDLUUDDLDDUDUUULUULLDLRURULDLULDRLDRDDULRDLLRDRDDLLLRLUUDUUDDRRDLLURLDDDLRUURDLLDLRURRDLLLUDRRDRLRRRRDRDDULLUDRDUUDDRRLDLDRLULDRUDLLRRLRURLLLRDDUUULLRUUDUULUDULLLDLDDDUDRRDLLDRDLRULUURUDRRRDUURULUULLUDLUURDURLRRLRULLDLRURRRDDLURULULUDRDUUDLULLULLRULURUDDLLLDLRLDRDRRDLLRLLLULRULUUDLUULLULRULURULLRDURULRLURRRLLUUULRDDDLDDDDDDDURLUURURDDDLDLDDRUDDDLUURRDULURDULRRULLLLDDRLUULLRLRULDLDLRLUUURUURRDDRDLDDDRULUDRRLRURLRUDLUUDDDRUDDRURDRRRLLRUDDRDUDLDDRRURRRDDDLDULRLULLRDLLUUUUDURLLRULDRUUDLDRLLDRLRLUURRLRLDLRLLDRRURDUUUUDLDDRRRRRRRUUDULLUURUURU
Generation 5, Fitness 2360: LUULDLLRRLLUULUDRLLDLLUDUURDDLDULRULDLLLDURUURDUDUURLRLDRRRDULLURUURLLLLDULRDRRRDLULRRLLDUDLRLLRURLRRDRUUDULRRRLDURRUDUURLRLLDLUUDULDDULRDRLUDRUURLRDDDLDDRURLRLRDLULUURLRRRLDDLRLRULRLRLLDRDRLLRUDLRULRDRURRRUUDRRULDLRULDLDULRRURLLLDDRLUUDRRLLDRRDUURDLLDDDUULLDURDRRUUDLURLLLDLULULDDLRLDUDDUUDDDDRLDLUDLDDLUDRLDDDRRLRLRUDUDUUURURDURURLULRRRDDDRLRLLDDRUDDDUDUUDLDDLLDLRLUDURRLRRLLUDURRUDRLRLRURULRUDDULLLULDLUUDUURRRRULDDULRUULLDRLLRRDDLLRDUUUDUULRDURDDURRRDLRDLURUDUULDRDUDDDRURUDDDRRRUDRRLDDUULRRDRDDLUULDURDUDURRLDDLLLURDULURDRRULRULDLRLDUDDUULLDURDDLURRDLLLDRUURRRLDRDDRLULDLRDRLUUULRDRLRRLDRLLRDURULDUURURRLLUDDLDLDUUUUURLRDULDLDUUDULDDRUULDRUDRDRLUDLDDLRLURDLULDRDDRDUDRDUUUUDLLRDRULDRRLDUDURLURUDRURRRDLRRDDULRLLDLRDRRLDUDLDLUURRRRRLLURLULDDUUDDURRLLLDRDUUULRRUDRULUURDDRLUDLLLUDUDDRUDRLDLDRRDLLDRUUDLDRLURDURURDUUUDDUDRRRDRRRURLLDURURLLDDLLLLDLLLURLRDRDLLRDDDDLRRDLLUDUDRLRLLDRDUULDLULURULUDRUDUURLLRRULLULLRUDUUDLDLRRDLURDRDUULRRRDDLLLRUDRURRDDULULRUUUULUDRRURRULDLDLUDLUDUDLDDDUDRRURDULRULURDD
Generation 6, Fitness 3150: RUUUDLDUURURURRDRLRRUDLDUDRRDDUDDRRURRLULRRRULDDLDLLRRLLRDDUDUDURDLUDRLDRDLDLUUDLLRLLDULLRUULDLRRRUDRLRRDLRUURRRURLLLUURLRLUUDRLURLURDUDDDRUURLDLULRRRRRULURRLDUDDLRLDLULLDUURRLRUDDDDDLLLDUUDUURLURUDRUUULLDRRLDRLLRDUUDUUDLRDLRLDDURUDRLDLURRDLLLDRRDLDRDLLRDUUDUDRRDURDULURRUUUULLUUDURRRDULURUDULDDUDUUDLRDUDLRLDDDUUUDUULDDDDLLDLDLURRRDDRRDDUUDURULLDLRLLRRDUURLRDRLURULDLRLUDLRDURDDUULRDLRRDUURUURUURULURRLRRURLULRUDLDUURUULULLLUUULLDLDLDDRUUURRRULDURDLDLULLUDLRUDUUUDULRLDRLDULRUDDDRRLRLUUURUUURDRRUDRLLLDRURUDRDRRLLULUUDLDUDRRUDURRRRLDDRLDRDLULUDLURDUDDLRRURDULLDLUUURLLRRUUDLDULDDLDLUUDUURUDDLLLULDRDRDULURLDLDLUDRURLDRDDURUULRRUUURLRRLRDDURLRULURULDDLRURLRLULLLRLLULRRDUDDDLRRLULLLRRLULUDDURLLRUDDLRUDLLLUDLURDUDRLURLDDDLLDUDDRULRRLUUDRLLUUUDRDLLULDLRLLDDRDLLLRRRULLULLUDRRLDULLLLLUUULLDRDLLDLULDRLLDRUUULUUDUDLLLLLDRLDLRDDDDRRRDUDDDLDLUUULLLRULULRDRDLDUDRRLRDDDRLLRLDRUDLRLDRLDLDLDDLLLLDDURLLLULLDUDDUDDDLRDUUDRRRRRDLRDURRLRUUDLLRURRDURUDDUDLDLDLURRLRDLLUUUDLURRDRRDURRDURDRLLRDDUURLRLRURRDLRLLLLDD
Generation 7, Fitness 3210: RUUUDLDUURURURRDRLRRUDLDUDRRDDUDDRRURRLULRRRULDDLDLLRRLLRDDUDUDURDLUDRLDRDLDLUUDLLRLLDULLRUULDLRRRUDRLRRDLRUURRRURLLLUURLRLUUDRLURLURDUDDDRUURLDLLLRRRRRULURRLDUDDLRLDLULLDUURRLRUDDDDDLLLDUUDUURLURUDRUUULLDRRLDRLLRDUUDUUDLRDLRLDDURUDRLDUURRDLLLDRRDLDRDLLRDUUDUDRRDURDULURRUUUULLUUDURRRDULURUDULDDUDUUDLRDUDLRLRULUUUDUULDDDDLLDLDLURRRDDRRDDDUDURULLDLRLLRRDUURLRDRLURULDLRLUDLRDURDDUULRDLRRDUURUURUURULURRLRRURLULRUDLDUURUULULLLDUULLDLDLDDRUUURRRULDURDLDLDLLUDLRUDUUUDULRLDRLDULRUDDDRRLRLUUURUUURDRRUDRLLLDRURUDRDRRLLULUUDLDUDRDUDURRRRLDDRLDRDLULUDLURDUDDLRRULDULLDLUUURLLRRUUDLDULDDLDDUDDUURUDDLLLULDRDRDULURLDLULUDRURLDRDDULUULRRUUURLRULRDDURLRULURULDDLRURLRLULLLRLLUURRDUDDDLRRLUDDRDRULRLURRLUUDRULDUDLLDLRLRDURLDLRRLLULLLRRDRULDDDDRLLRRLDLLDDRUDULDRRURLRDDULLULDULDULURLLDRDLLLURRRRRDLULUDURLRLLLDLLDUDULDUDULDUURLRLRRDRDRLLRRDDLUDUDDLRRDRLRLDDUUDDDDDLUDDRUDDRDLLLDLLULRULURRULRRRDRRLLLLLRLRLULUDRUDRDLUDULLRURDLURRDLDUUUUURLDDLULDRURLRLUDRDDURLUUDRDRRRRLLDUDRUULRRRUUDDDLUDDLLRRUDLDDLLDRDUUURUDLDRR
Generation 8, Fitness 3470: RUUUDLDUURURURRDRLRRUDLDUDRRDDUDDRRURRDULRRRULDDLDLLRRLLRDDUDUDURDLUDRLDRDLDLUUDLLRLLDULLRUULDLRRRUDRLRRDLRUURRRURLLLUURLRLUUDRLURLURDUDDDRUURLDLLLRRRRRULURRLDUDDLRLDLULLDUURRLRUDDDDDLLLDUUUUURLURUDRUUULLDRRLDRLLRDUUDUUDLRDLRLDDURUDRLDUURRDDLURRRDLDRDLLRDUUDUDRRDURDULURRUUUULLUUDURRRLULURUDULDDUDUUDLRDUDLRLRULUUDDUULDDDDULDDDUURRRDDRRDUDUDULULLDLRLLRRDUURLRDRLURULDLRLUDLRDURDDUUDRDLRRDUURUURUURULURRLRRURLULRUDLDUURUULULLLDUULLDLDLDDRLUURRRULDURDLDLDLLUDLRUDUUUDULRLDRLDULRUDDDRRLRLUUURUUUUDRRUDRLLLDRURUDRDRRLLULUUDLDUDLDUDRRRRRLDLRLDRDLULUDLURDUDDLRRULDULLDLUUURLLRRURDLDULDDLDDUDDUURLDDLLLULDRDRDULURLDLUUUDRURLDRDDULUULRRRUURLRULRDDURLRRLURULDDLRURLRLULLLRLLUURRDUDDDLURLUDDRDRULRLURRLDUDRULDUDLLDLRLRDURUDRUDLUUUULLDRURUDLLDULURULUDDULUDDLDUDLUULRLDDLDDRUULLLUDLRRRDDUUDLDRLLURUULLRDDRRRRUDUDRDDLDLRDDUDRDLDDDUDDLUDLRURULUULUUDRUUDRRLRRDUULUUUUDDLDDLUULDLDDDLDURLUUULURDRRDLDRLDRRRDRRDLLLDDDLUDDRRRLDRLLULUUUURDULLDDDLUUUDURRUULLRRLDLLULULRULRDULUURLUDURDLRRLDUUDUULUDRLLLDDUULDDRDRLUULLURDUD
Generation 9, Fitness 3470: RUUUDLDUURURURRDRLRRUDLDUDRRDDUDDRRURRDULRRRULDDLDLLRRLLRDDUDUDURDLUDRLDRDLDLUUDLLRLLDULLRUULDLRRRUDRLRRDLRUURRRURLLLUURLRLUUDRLURLURDUDDDRUURLDLLLRRRRRULURRLDUDDLRLDLULLDUURRLRUDDDDDLLLDUUUUURLURUDRUUULLDRRLDRLLRDUUDUUDLRDLRLDDURUDRLDUURRDDLURRRDLDRDLLRDUUDUDRRDURDULURRUUUULLUUDURRRLULURUDULDDUDUUDLRDUDLRLRULUUDDUULDDDDULDDDUURRRDDRRDUDUDULULLDLRLLRRDUURLRDRLURULDLRLUDLRDURDDUUDRDLRRDUURUURUURULURRLRRURLULRUDLDUURUULULLLDUULLDLDLDDRLUURRRULDURDLDLDLLUDLRUDUUUDULRLDRLDULRUDDDRRLRLUUURUUUUDRRUDRLLLDRURUDRDRRLLULUUDLDUDLDUDRRRRRLDLRLDRDLULUDLURDUDDLRRULDULLDLUUURLLRRURDLDULDDLDDUDDUURLDDLLLULDRDRDULURLDLUUUDRURLDRDDULUULRRRUURLRULRDDURLRRLURULDDLRURLRLULLLRLLUURRDUDDDLURLUDDRDRULRLURRLDUDRULDUDLLDLRLRDURUDRUDLUUUULLDRURUDLLDULURULUDDULUDDLDUDLUULRLDDLDDRUULLLUDLRRRDDUUDLDRLLURUULLRDDRRRRUDUDRDDLDLRDDUDRDLDDDUDDLUDLRURULUULUUDRUUDRRLRRDUULUUUUDDLDDLUULDLDDDLDURLUUULURDRRDLDRLDRRRDRRDLLLDDDLUDDRRRLDRLLULUUUURDULLDDDLUUUDURRUULLRRLDLLULULRULRDULUURLUDURDLRRLDUUDUULUDRLLLDDUULDDRDRLUULLURDUD
Generation 10, Fitness 3860: RUUUDLDUURURURRDRLRRUDLDUDRRDDUDDRRURRDULRRRULDDLDLLRRLLRDDUDUDURDLUDRLDRDLDLUUDLLRLLDULLRUULDLRRRUDRLRRDLRUURRRURLLLUURLRLUUDRLURLURDUDDDRUURLDLLLRRRRRULURRLDUDDLRLDLULLDUURRLRULDDDDLLLDUUUUURLURUDRUUULLDRRLDRLLRDUUDUUDLRDLRLDDURUDRLRUURRDDLURRRDLDRDLLRDUUDUDRRDURDULURRUUUULLUUDURRRLULURUDULDDUDURDLRDUDLRLRULUUDDUULDDDDULDDDUURRRDDRRDUDUDULULLDLRLLRRDUURLRDRLURURDLRLUDLUDURDDUUDRDLRRDUURUURUURULURRLRRURLULRUDLDUULUULULLLDUULLDLDLDDRLUURRRULDURDLDLDLLUDLRUDUUUDULRLDRLDULRUDDDRRLRLUUURUUUUDRRUURLLLDRURUDRDRRLLULUUDLDUDLDUDRRRRRLDLRLDRDLULUDLURDUDRURRULDULLDLRUURLLRRURDLDDLDDLDDUDRRURDRRULDDRULRDRDLRURDDURUDLRDDRLURRULUUUUDDRDURLRRULDUDURUUDDLUURURLRDLDDLLUDUUDRUURRDDUDLUUURRRLRRLUUDDDUURULLLDURDDDLDULDUDRLURUURUULURRRURURRLUDLLRLDRRUULDDUDLUDLRDLRUUULDURLLRLULULUULRLRRRULLLDDLRDLULLRUUDDDUDUULLLDLLDDDLRUURUUDLRLUDLDLLDDLRRRUDRRURUDRDRDLRDUUURLUUDUULRURRUUDLDRRRRUDRLURRDRLUDRURRRRLRDURLRRRLUURUDRLURRUUDRULLDDLRDUURDDURDDLLDURDDRRRLLRDLLURULRDRDRDULUUULDRDRRLLLLRLRRRUURLDDRRURLDLLLUULUUUD
Generation 11, Fitness 3860: RUUUDLDUURURURRDRLRRUDLDUDRRDDUDDRRURRDULRRRULDDLDLLRRLLRDDUDUDURDLUDRLDRDLDLUUDLLRLLDULLRUULDLRRRUDRLRRDLRUURRRURLLLUURLRLUUDRLURLURDUDDDRUURLDLLLRRRRRULURRLDUDDLRLDLULLDUURRLRULDDDDLLLDUUUUURLURUDRUUULLDRRLDRLLRDUUDUUDLRDLRLDDURUDRLRUURRDDLURRRDLDRDLLRDUUDUDRRDURDULURRUUUULLUUDURRRLULURUDULDDUDURDLRDUDLRLRULUUDDUULDDDDULDDDUURRRDDRRDUDUDULULLDLRLLRRDUURLRDRLURURDLRLUDLUDURDDUUDRDLRRDUURUURUURULURRLRRURLULRUDLDUULUULULLLDUULLDLDLDDRLUURRRULDURDLDLDLLUDLRUDUUUDULRLDRLDULRUDDDRRLRLUUURUUUUDRRUURLLLDRURUDRDRRLLULUUDLDUDLDUDRRRRRLDLRLDRDLULUDLURDUDRURRULDULLDLRUURLLRRURDLDDLDDLDDUDRRURDRRULDDRULRDRDLRURDDURUDLRDDRLURRULUUUUDDRDURLRRULDUDURUUDDLUURURLRDLDDLLUDUUDRUURRDDUDLUUURRRLRRLUUDDDUURULLLDURDDDLDULDUDRLURUURUULURRRURURRLUDLLRLDRRUULDDUDLUDLRDLRUUULDURLLRLULULUULRLRRRULLLDDLRDLULLRUUDDDUDUULLLDLLDDDLRUURUUDLRLUDLDLLDDLRRRUDRRURUDRDRDLRDUUURLUUDUULRURRUUDLDRRRRUDRLURRDRLUDRURRRRLRDURLRRRLUURUDRLURRUUDRULLDDLRDUURDDURDDLLDURDDRRRLLRDLLURULRDRDRDULUUULDRDRRLLLLRLRRRUURLDDRRURLDLLLUULUUUD
