Best genes by generation:
Generation 1, Fitness 105.000731: RRRDLDRLRRRLRULRLLLURRRDDRULUUUDDLRURLULLULULLRRRLULLDDRRDUUDRDLDLLDURLLDLRLUUDRLLDURLLDDRUURLUURRUDLDUURDLULLUUULDRLDULDRUDUDRLULURURRUURRLDRDDDRLRUUDRLRLRRUUDUUUULRRULRULLDLDULRRUUUUURUUUULLULULUURRRDRRRRLLRLDLRURDUDLLLLRLLUURRUUDDULLUDDURDDLLLRLRUUULDDDLLURDDRLRRULRRUDRRDRLULLDLUDRLULUUDDRLRRRRRDRDUDUUDLLDRRRURRDUUULURULDRRUUDULUDLRDDDLRDDUDULURLRRLRDRLUUDLRRLUDLLDDLULURUDDDUDDRDRUUDRUDULLRLDLUDLLLLRDLUUULRDLDRDLRRLRULDDDDDRRRDDRUULLRRRLLUUDRDRDUUDUDLUUDLRUULURLDLDLRRLLURDURLDRLDUUUDLLRRLRULRLRULURLDLDURRLRUDURUDUURULLDRUURLDUULULUUUUUDURDDDUUUUUUUDRDULULRUDULDRRRRUULURUDRLRLLDUDDULDRRULLRDLULUDDRURLDRLRDRRDRUURDLLUDURULRULUDLLRRDRUDUUDDLUULULLLURRURUDULRDDULDLLUURRLLUDUDLRLDDDLULUURDLUDRDDUURLLDRDRLDLRRLLRLDRLUDDDUUUDRUDRRULULDULRLDDLRRDDUUDDUDURRULDLUDRULURLDDLLRRLRDDLURLLDDLDRLLDUULDRRUUDDRLLLLRLRDLLDDDDRDRRUDLLDLLLLURRDLLDDLRLUDRURURRRRLRUURLDDUDUUURLDUUURURLDUDUULDUDRUDDDLUUDUUDRRURRUDLDURRRDLRDLDDRURUUULDRUDDUUDUDRDRUULUUDDLDURUULLRRLLUDLLLRLDLLLDRDRUULURDUUULRUDULLLURDUDURDLD
Generation 2, Fitness 96.000767: RRRDLDRLRRRLRULRLLLURRRDDRULUUUDDLRURLULLULULLRRRLULLDDRRDULDRDLRLLDURLLDLRLUUDRLLDURLLDDRUURLUURRUDLDUURDLULLUUULDRLDULDRUDUDRLULURURRUURRLDRDDDRLRLLDRLRLRRUUDUUUULRRULRULLDLDULRRUUUUURUUUULLULLLUURRRDRLRRLLULDLRURDUDLULLRLLUURRUUDUULLUDDURLULLLRLRUULLDDDLLURDDRLRRULRRUDRRDRLULLDLUDRLULUUDDRLRRRDRDRDUDUUDLLDRRRURRDUUULUDULDRRUUDUUUDLRDUDLDDDUDUDURLRRLRDRLUUULRRLUDLLDDLULURUUDDUDDRDRUUDRUDULLRLDLUDLLLLRDLUUDLRDLDRDLRRLRULDDDDDRRRDDRUULLRRDLLUUDUDRDUUDUDDUUDURUULURUULULUURRURRULLRDRLUUUDLRRRLRULRLRULURLDLDURRLDLDURUDDRRULLDRUURLDUULULUUUUUDUUDDLUUUUUUUDRDLLULRUDRLDRRRRUULDRUDRLRLLDUDDULDRRULRRDLULUDDUULLDRURDRRDRDURDLLUDURULUULUDUDRRDRUDUUDDLUULULLLRRRUUUDULRDUDLDLLUURRLLUDUDLRLUDDUULUURDRULRDDUUULLRRDRLDLRRLDRLDRRURDDUUUDRUDRRULULDULLLDULURDDUDDDDDURRUDDLUDRULURLDRLLDRLRRDLURLLDDLDULLDLULRRRUUDDRLLLLRLRRLLDDLLRDRRUDLDDLLLLURRDLLDLURLUDRDUURRRRLDURRUDRURLUURLDUDRRURLDULURLDUDRRLRDUUUDUUDRRURRUULDURRRRLLDRLDRDDUDULDRUDDUUDULLDRUULULDDLDUDUULLRRLURDLLLUDDRULDRDRUULURULDULLUDULRLURDLDURDLD
Generation 3, Fitness 103.001047: RLULDULLDDULLULDUDLRLDULUDRDLUDDUULLLUUDRDRUURDRDRLDUDRDUURRRLURLRLLDDLLLLUULUDDRRRLRUUUDLDLLRRRLURDLLLLDRLULLUUULDRLRULDRUDUDDLULURURRUURRLDUDDDRLRUUDRLRLRRUUDUUUURRRULRULLDLDULRRUUUUURUUUULLULULUURRRDRRRRLLRLDLRURDUDLLLLRLLUURRULDDULLUDDURDLDLLRLRUUULDDDLLLRDDRLRRULRDUDRRDRLDLLDLUDRLULUDDDRLRRRRRDRDUDRUDLLDRRRURRDURURURULDLDUUDULUDLRDDDLRDDULRLRRLRRLRDRRUUDLRUDUDLLDULULURUDDDUDDRDRUURRUDULLRLDLUDLDLLRDLDUULRDLDRDRRRLRULDUDRURLDRUDDDLDULRULUDRULUDDLURDURRLLRLULUDURLDUUUULLUURDULRDLLULRRLUDUDDUDURUDDUDLRUDLLLRLRLULUUDRDUULUDLUUUUUDRRDRRDDLDLLDLRUDULLRRUULUURDLLDRDDDDUDDURLDULULRDLDRLURRRDULURUDULURDDLLDLLRDUDRURURDDUURRRDLRRLDDDLURRDRRLDURDLUULULLDURRURULUDRDDULDLLRDRLLLUUURLRUDDDLDLUUDDDURRLDRURLLDURRLULRRULRLLRRUDDLUUUDRUDRRLDUDUDRRLUDDRLDDRLDLRDLULUDDDUDRUUURRDDRLRRLRUDLULLRDDRDRLLDDUUDRRUUDRRLLLRRRRUUUUDUDLDUDLLLULUDRRDULUUULLDRUUUDDLDDUURURLRRDRURURURUDDRURLLRLURRDRULLRDRRLLULDDDLLRDRRLLRURUDRRLDRDURDUDLRLLRLLDDLUUUUURRUDLUURUULRULUUULDDUURRUDDLRDUDRULLRLULUUULDLUUDULRDRRRUDDRRDLU
Generation 4, Fitness 103.001047: RLULDULLDDULLULDUDLRLDULUDRDLUDDUULLLUUDRDRUURDRDRLDUDRDUURRRLURLRLLDDLLLLUULUDDRRRLRUUUDLDLLRRRLURDLLLLDRLULLUUULDRLRULDRUDUDDLULURURRUURRLDUDDDRLRUUDRLRLRRUUDUUUURRRULRRLLDLDULRRUDUUURUUDULLULULUURRRDRRRRLLRLDLRURDLDLLLLRLLUURRULDDULLUDDURDLDLLRLRUUULDDDRLLRDLRLRRULRDUDDRDRLDLLDLUDRLULUDDDRLRRRRRDRDUDRUDLLDRRRULRDURURURDLDDDUUDULUDLRUDDLRDDULRLLRLRRLRDRRUUDLRUDUDLLDULULURUDRDUDDRDRUURDUDUULRLDLUDLDLLRDLDUULRDLDRDRRRLRULDUDRURLDRUDDLLDULRULUDRULUDDUURDURRLLRLURUDURLRUUURLRUURDULRDLLULDRLUDUDDUDUUUDDUDLRRRLLLULRLDLLUDRDUULUDLUUUUUDRUDRRUDLDLLDLRUDULLRRRULUURDLLDRRDRDUDDUDLDULULRDLDRLURRRDURURUDUDURDDDLDLLLDUDRURURDDULRRRDLURRDDDLURRDDRLUURDLLUULLLDURRLRRDUDRDDULDLLRDDLLLDDURLRUDDDLDRUUDDDURRLDRURLRDURRLULRRULRLLRRDDDLUUUDRDDRRLDULLDRULUDDRLDDUUDLRDDURURDDUDRULURRDDRRLULLUDDLLLRDDRDRLLDDUURRRUUDRRRLLRRDRUURUDUDLDUDLLLULLDRRDULUUULLLRDULDRLDDUURLRURDDLRDRLDDLLDRRLDRDRDDDDDDULLDRRRRDDDLLLURURLRLULLUULDDDULURULDRUUUDDLLLURURUULRLRLDRUDULULLUUUDDDULLRRRDUDRUDRUDLULULUUULDLUUDULRRLRRUDDRRDRU
Generation 5, Fitness 103.001047: RLULDULLDDULLULDUDLRLDULUDRDLUDDUULLLUUDRDRUURDRDRLDUDRDUURRRLURLRLLDDLLLLUULUDDRRRLRUUUDLDLLRRRLURDLLLLDRLULLUUULDRLRULDRUDUDDLULURURRUURRLDUDDDRLRUUDRLRLRRUUDUUUURRRULRRLLDLDULRRLDUUURUUDULLULULUURRRDRRRRLLRLLLRURDLDLLLLRLLUURRULDDULLUDDURDLDLLRLRUUULDDDRLLRDRRURRULRDUDDRDRLDLLDLUDRLULUDDDRDRRRRRDRDUDRUDLLDRRRUDRDURURURDLDDDUUDULUDLRUDDLRDDRLRLLRLDRUUUDLDURUULLRURRLRULUDLRLDLDLDURDRULLLRDRLUDUDLLUUULLRRURLLDULLRDLRRDLUUDRUDRDLDDRLDDLRDLLDRRUULRRRLLRRDLLDURRDRRDRUUUDULRRRLLRRRLDUUDRLRLULDURDRUDUDLDLULUDLULUUDDUDLRUUUDDUDRLURRRDRDRDRRDRDRLRDURDRRULURLUUDDUDDDLLRRDDRDULULUURRRULDDLDRRUDURLDLLLDRRLURLRURLUUUUULUDUDDUDLDLRURDDLDURRDDDURLLRUDUDRURRDLRUDURLDRRDURDLLRLUULURRRULURRULLDUUDURRLRDRULRDDURURLRLLDLLLURDLRRRRRDUULLULRDLLDLDUDDRDLDLLRLUURLLLDDDDRULLDUUDDRLLDLRRUURLLRRDURUDRRRDLLDUDDDDULLRDURRLDLRULULURUDUDUUUUUDLUURRDDLURDULUDUDDDLRLRRLLRRLRDULDRLULDUDRURUULRRUDLDDDURDLDUDRRRLRUUULURURURLDDRLULDDDDULURULDUUUDDDLLLURURUULRLRLDRUDULULLUUUDLDUUDRLRRULRUDRUDLULDLRUULDLDUDULURDRRUDLRLDRD
Generation 6, Fitness 124.000822: LLULDRUDLLLRUDDLURLUDURDURDUUDRURRRRRDDRULRDLRUDURLLDRLDDLDLUUULLLDURLDRDLULUDRULLUURRRRDDDRLLUURRURDRLRURDLLDULLLUURLUDDDDLDLRLULRLDDLULRULLLUUUURRRUULLULRLDLURLUDULDLRDDRUDLULLULDLLRDLDUDLRDULUULUUULLDRLRDRRUULLLRLLRDRLLUURLRLUDRDRDDDLURDLLRDLULUDURURRRURDRRLLDLDDLRULURRLURDDUUDDDRURUURDLRULRRRLURRURDLLRDLURLLULRDUUURURULDLRUUDURLDRRLDDLRDUULRLRUURDDRDLLURDURRLUURLDDLULUDLDDDUDLUDRUDRUUDULLULDLUDLULLRDLUUULRDLDRDDRRLRDLDLDDUURLDULUURLRRLLRULLUDUDUUDUDLUUDLRRULDRUDLLURURLRDRUDLDRLDDLRULLDUURLLRUDLRUDLDUDDULRUDULRRRLDUDRDDLRURRUDRLULLURDDULLRURRRLUDDUDRLRLLRLLLDULRDUUDDRLRULLUDDRDDDLLULLLLUDLLURUDRDLDRDUURDLLDUURLULDDLDRRLDUUUULDLLRLDRRULLRRURDLLUULURRUUULRULRLRUDUULLRRDRUURLRDLRDURRDUUDDUULUDDUUDDULRURDURRURLURRDLDDULURRLRLUDLRRRRLDRULURULDDRUDUULDRRUDRDURUDLUDULDRDUUURLDURDRUDURUDUDUUDDRRUUUDUDLRRDLLLRLLRDULLLRRUDDUDLUDDULRURRRUDLUUURDLLDRLLUDRLLRRLDUURLLUULDULDRRLUDDDRLUDRLULRRLLDDLRRRRRULDUDLDDDLUDLLLRRDLRRLLUULUDLDURLDDRLRLDLURUUDURUDLLULRUDUDUUDLUDDDRLDLRDURRDULRDDLLLLLLDRDDLUDUD
Generation 7, Fitness 124.000822: LLULDRUDLLLRUDDLURLUDURDURDUUDRURRRRRDDRULRDLRUDURLLDRLDDLDLUUULLLDURLDRDLULUDRULLUURRRRDDDRLLUURRURDRLRURDLLDULLLUURLUDDDDLDLRLULRLDDLULRULLLUUUURRRUULLULRLDLURLUDULDLRDDRUDLULLULDLLRDLDUDLRDULUULUUULLDRLRDRRUULLLRLLRDRLLUURLRLUDRDRDDDLURDLLRDLULUDURURRRURDRRLLDLDDLRULURRLURDDUUDDDRURUURDLRULRRRLURRURDLLRDLURLLULRDUUURURULDLRUUDURLDRRLDDLRDUULRLRUURDDRDLLURDURRLUURLDDLULUDLDDDUDLUDRUDRUUDULLULDLUDLULLRDLUUULRDLDRDDRRLRDLDLDDUURLDULUURLRRLLRULLUDUDUUDUDLUUDLRRULDRUDLLURURLRDRUDLDRLDDLRULLDUURLLRUDLRUDLDUDDULRUDULRRRLDUDRDDLRURRUDRLULLURDDULLRURRRLUDDUDRLRLLRLLLDULRDUUDDRLRULLUDDRDDDLLULLLLUDLLURUDRDLDRDUURDLLDUURLULDDLDRRLDUUUULDLLRLDRRULLRRURDLLUULURRUUULRULRLRUDUULLRRDRUURLRDLRDURRDUUDDUULUDDUUDDULRURDURRURLURRDLDDULURRLRLUDLRRRRLDRULURULDDRUDUULDRRUDRDURUDLUDULDRDUUURLDURDRUDURUDUDUUDDRRUUUDUDLRRDLLLRLLRDULLLRRUDDUDLUDDULRURRRUDLUUURDLLDRLLUDRLLRRLDUURLLUULDULDRRLUDDDRLUDRLULRRLLDDLRRRRRULDUDLDDDLUDLLLRRDLRRLLUULUDLDURLDDRLRLDLURUUDURUDLLULRUDUDUUDLUDDDRLDLRDURRDULRDDLLLLLLDRDDLUDUD
Generation 8, Fitness 126.000797: RRRDLDRLLUDUURUUDRURDDRRRLRDRLUDDLLRDDDLDLDDDRULDRRURRURDRRLULRUDDUDLUURUDRLLUUURULRLULRDUDRDRDDULLDULLUURRUUUDLURURUULLLLLULLLRUDUDULLLUULRRLULRDURDUDUDLDUUUUDRLUURLUUDLLURRLLLRRLLLUDDURUDRDDDULULRDDURDLLDRRLLLURLRDRUURUUDULUDULDLUDLULUDRLLDRUUDRUURURULUUDRDURLLLUDURRUULULULLRDDDLDLULLDURDURURLLLLULRUUUURDDLRLLULDLRDLLRDUUUULRDURDDLLLRRRDUUDDDDDRLLDDRLLLURDUURRULURURURURRRUDRLUDULLRULLLUDDURLULRLDRURDURRLLDRRLUULRLDDLLDLDLRLLDLDLUDLRRUULLRRUUDLURULRLRDUDURDRLURDDRLDRLLRLLRRDRURUDLLRRDRDLRLLDLRDRULULUUDLDRLLLLLUUDDURURUDRUUDDLUDLULRUURRRLLURUDDLULDRDULRLUDLRULRRURLURDRDLRLURLDLDURLULLLDDRURURRULRRUDLDDUDRUDRDUDRRDRURRLLDDRRDDULDUDUDLLUULDDLRDUDDRLDLRRRRUDRURULDRUDULDDRLUUDDUDURRDRLUDRURLURUDRURRRDDRURLDDLLDURDDLUULUDLRULLDRUULLLLDLDDLRULRULUUDLDLLRLLLDUULDDDLRUUUDDLRDLLLDUDLLLLULLLDLRRDLLRUURLLLURRRRRLDDURRRLRRLURULDLLDULDURURLLLDLLRDLRRRLLRDLDDLUDLRUURRUDLLLULLRLRDUURRDRDRRLLRDDRUDDDLLUDURUURDLDRLLLLUDDRDDRRRLLRRDLUULLDRDRDULRRLURLLUDURDRRDLDRRRDURDULDLDUULLDDLLLDDUUDDULRUUDRDRULRDLDR
Generation 9, Fitness 128.000795: LLULDRUDLLLRUDDLURLUDURDURDUUDRURRRRRDDRULRDLRUDURLLDRLDDLDLUUULLLLURLDRDLULUDRULLUURRRRDDDRLLUURRURDRLRURDLLDULLLUURLUDDDDLDLRLULRLDDLULRULLLUUUURRRUULLLLRLDLURLRDULLLRDDRUDLULLULDLLRDLDUULRDULUULUUULLURLRDRRUULLLRLLRDRLLUURLRLUDRDRDDDLURDLLRDLULULURURDRURDRRLLDLDDLRULURRLLRDDUUDDDRURUURDLRULRRRLUDRURDLLRDLURLLULUDUUURURULDLUURDURLDRULDLLRDULLRLRLURDDRDLLURDURRLRURLDDLULUDLDDDUDLUDRRDRUUDULLULDLLDUULLRDLUUULRDLDRDDRRLRDLDLDDUURLDULUURLRRRDRRDLURUDUURUDLUUDLRRULDRUDLRURURLRDDRURLDRLRRDRDULLURLUDDDLULDDRLRRRUULLUUDDURDRLDLLLURLLLRULRULLRRLLDUDDRLLLDUUDLLLRRURRLURURUULDRDDLLRRRDDRURLULRLRDRULURRLLRRUDDLDDRRUDRDLDLRLURRLUUUDDRRDUUUUDUDLLRULRULDURDLLUULURRRUURLULRLRUDUUDLULDRUURLRDDRDURRDDLDDUULRDDUULDLRLURRURRURLURURLLDULURDLRLUDLRRRRLRRULRRULDDDUDUULDRRUDRUURUDLUDULDRUUUURLDUDURUDURUDUDRUDDRDUURLUDLRRLLRLLLLRLUULLRLUDDUDLUDDULRRRRRUDLLUURDLLDRDLUDRLLRURDLRDLLUULDULDRRLUDRDRLULRUDLLRLDDUUURRRRULDUDLDDULUDLLLRRDDRRLURDLUDLDRDLRDRURLDLURUUDURURLLULLDUUUUURLUURDRLLRRDUDRDURRLDRLLLLUDRDDLUDRD
Generation 10, Fitness 128.000795: LLULDRUDLLLRUDDLURLUDURDURDUUDRURRRRRDDRULRDLRUDURLLDRLDDLDLUUULLLLURLDRDLULUDRULLUURRRRDDDRLLUURRURDRLRURDLLDULLLUURLUDDDDLDLRLULRLDDLULRULLLUUUURRRUULLLLRLDLURLRDULLLRDDRUDLULLULDLLRDLDUULRDULUULUUULLURLRDRRUULLLRLLRDRLLUURLRLUDRDRDDDLURDLLRDLULULURURDRURDRRLLDLDDLRULURRLLRDDUUDDDRURUURDLRULRRRLUDRURDLLRDLURLLULUDUUURURULDLUURDURLDRULDLLRDULLRLRLURDDRDLLURDURRLRURLDDLULUDLDDDUDLUDRRDRUUDULLULDLLDUULLRDLUUULRDLDRDDRRLRDLDLDDUURLDULUURLRRRDRRDLURUDUURUDLUUDLRRULDRUDLRURURLRDDRURLDRLRRDRDULLURLUDDDLULDDRLRRRUULLUUDDURDRLDLLLURLLLRULRULLRRLLDUDDRLLLDUUDLLLRRURRLURURUULDRDDLLRRRDDRURLULRLRDRULURRLLRRUDDLDDRRUDRDLDLRLURRLUUUDDRRDUUUUDUDLLRULRULDURDLLUULURRRUURLULRLRUDUUDLULDRUURLRDDRDURRDDLDDUULRDDUULDLRLURRURRURLURURLLDULURDLRLUDLRRRRLRRULRRULDDDUDUULDRRUDRUURUDLUDULDRUUUURLDUDURUDURUDUDRUDDRDUURLUDLRRLLRLLLLRLUULLRLUDDUDLUDDULRRRRRUDLLUURDLLDRDLUDRLLRURDLRDLLUULDULDRRLUDRDRLULRUDLLRLDDUUURRRRULDUDLDDULUDLLLRRDDRRLURDLUDLDRDLRDRURLDLURUUDURURLLULLDUUUUURLUURDRLLRRDUDRDURRLDRLLLLUDRDDLUDRD
Generation 11, Fitness 128.000795: LLULDRUDLLLRUDDLURLUDURDURDUUDRURRRRRDDRULRDLRUDURLLDRLDDLDLUUULLLLURLDRDLULUDRULLUURRRRDDDRLLUURRURDRLRURDLLDULLLUURLUDDDDLDLRLULRLDDLULRULLLUUUURRRUULLLLRLDLURLRDULLLRDDRUDLULLULDLLRDLDUULRDULUULUUULLURLRDRRUULLLRLLRDRLLUURLRLUDRDRDDDLURDLLRDLULULURURDRURDRRLLDLDDLRULURRLLRDDUUDDDRURUURDLRULRRRLUDRURDLLRDLURLLULUDUUURURULDLUURDURLDRULDLLRDULLRLRLURDDRDLLURDURRLRURLDDLULUDLDDDUDLUDRRDRUUDULLULDLLDUULLRDLUUULRDLDRDDRRLRDLDLDDUURLDULUURLRRRDRRDLURUDUURUDLUUDLRRULDRUDLRURURLRDDRURLDRLRRDRDULLURLUDDDLULDDRLRRRUULLUUDDURDRLDLLLURLLLRULRULLRRLLDUDDRLLLDUUDLLLRRURRLURURUULDRDDLLRRRDDRURLULRLRDRULURRLLRRUDDLDDRRUDRDLDLRLURRLUUUDDRRDUUUUDUDLLRULRULDURDLLUULURRRUURLULRLRUDUUDLULDRUURLRDDRDURRDDLDDUULRDDUULDLRLURRURRURLURURLLDULURDLRLUDLRRRRLRRULRRULDDDUDUULDRRUDRUURUDLUDULDRUUUURLDUDURUDURUDUDRUDDRDUURLUDLRRLLRLLLLRLUULLRLUDDUDLUDDULRRRRRUDLLUURDLLDRDLUDRLLRURDLRDLLUULDULDRRLUDRDRLULRUDLLRLDDUUURRRRULDUDLDDULUDLLLRRDDRRLURDLUDLDRDLRDRURLDLURUUDURURLLULLDUUUUURLUURDRLLRRDUDRDURRLDRLLLLUDRDDLUDRD
