Best genes by generation:
Generation 1, Fitness 73: LULRLLLLLULLUUULDLDDLLRDRDRDRLDDRLRUURRRRRUUULRDDDUDULURLDURRLLLLRUUDLDLUUDRDRRRDURRRRRDRLRURLRDUUDRUURDUURDRUDRLLDURRDRLRDRLLULDLDLURLLURDLLRRLLRRLLRDULRURLLLLLRDLRLRRLDDDLLDUDUURUURRLURDLDUURRLRLULDLDDDURRULURRUURRDLDRUULDUUDULRLRRLURDLULDDRRRRRLDLLRDLUUUURLDDRLRUDLDDURRLRLLRRRRRLRDUDRLRLUDULLUDUDLUDRRUDLDDDLUDDRRLUUDRULDULRDRDLUULRLLDDDLRUDUDLRRDDRDDLRUUDLLLLLRLRLURRRRRDRDUURDLURLDRLDRLDLULLRUDRDDULDLLDRLLLRRLUDRLDRRLDURULDDULRLLLDRDDRURUUUURDLUDDUDULDDURLRRUDDRLUDULLRUDLDRDUUULDRUUULRLRRUDURRRRLDLULDLDUDLLDDRRRLRDRURUDUUDRDRUUUULURURDLURLLLRRULUDRRLUUUDLLLRRLLLURUULLURDDDLRDUDURUULLLDDLDULRLURRRDUULUDUUURUUULLRRDLUULDDLLRULDLRULLDUURDLLLLUURUDLRLRRRLDLLUDRUDRDULUDDUDDUULLLURRUDDURURDURDURULUDUDRLDDLULLULDRUUDRRRUDULRRLRDLLDRDDRDUUUDLRDRULRDLLURUDUUDLURUDDRDLDUDDUULUDRDUURLRDLUUULLDRRDLLURLLURRUDUDLLDLDDLDUURDULRLLDLLLURLLLDULRLLRRDDLRLUUUUULDDLLLRUULRULLRDDRRLRDLDLRUURRLRLLURUDLDRDRDLUUDURDRRDDDUDURDUUULRDDRUDRUUUURRURLURLRLRLRRRLURLDLDULLRRULRDURRDLLRDDULRLDLRRUDLULRRRLRLRLLDUDLRL
Generation 2, Fitness 77: LRLRUDLULLLUDLLRLUURURDUULLDDUDUULDURRUURRLRDDLLRDLURRUULLULUUDRLDURLUDDRLRRULLLLUUDDLUUDDURDDURLULLUUDULURDUDULUURDLURULLLDRRDLDLLLULLRLURRRDULLDRRUUUDDDUUDUURURDLRLLLDDDDDRLLRDDRUURLDLLURDURURDRURRDLULULLLDURRDRULURLRDLURLUDDUURUDDUDLDUDDDDDDDDLRUDRURRULDDLDUDDDURLRDDDRULRLLULDRDRUURUURUDLDLDRLDLDRDDLLRULLDRDUDDRDUDDULUUDLDRRLUDDLDUDRRDDUUUUUDDRRURULLDRRLRUULLRURRDRRURLLLURDLRLULDULDDDRRLLULLRRLRLDLLLRDUURDULLUDLUUULLURRUDDRRUDUURLRRRLRLDLDRDULDDRULRLUUDDDLDUURRURDLDRLLRDRLUURLRULLRDRRLULLDDDRRDUDLDUDRRLUDRRLLRDLDRDRLLRURLLULUULRRLRDUDRUURLUUDDRUDRRDLURRUDRDLLLLRDRULUDUDRDRURULLLDRULUDDLUULLRLRUDRDDRUDDLLLLRDRULRRDLULULUDRDRLRLURULRRDRRDLULRURLRUDLULLUURUUULLDLUDDLRLDURURUUDUDULUDDUDULULLUDRRRLDULUULRRULULDDURUDLLUULRLURLDDDRLUURRLLDULDUDDDLRRLDRUDDRLRUULDRUUDRRLLLURUDULDDLDRRRDDUUDDULDLDLRRUULRULLRRDRLDUDLRRDLURURRRULDRLLLLDURRRRRLURLLLDDRRUDUDRLLLLRUUDDDURLUDDULRRLLRDRUDLUDLUDRLDULLLRULLLUDRDUULRRURDDDULUULRDLLLRDLRURULRLLRRLUURDDURLUUUURRDDURDRDRRDLRRDLLDRRUDDURDRDRLUDULULURRUDLDU
Generation 3, Fitness 100: LRLRUDLULLLUDLLRLUURURDUULLDDUDUULDURRUURRLDDDLLRDDURRUULLULUUDRLDURLUDDRLRRULLLLUUDDLUUDDURDDURLULLUUDULURDUDULUURDLURULLLDRRDLDLLLULLRLURRRDULLDRRUUUDDDUUDUURURDLRLLLDDDDDRLDRDDRUURLDLLURDURRRDLURRDLULULLLDURRDRUDURLRDLURLUDDUURUDDUDLDUDDDDDDDDLRDDRURRULDDLDUDDDURURDLDRDLDLLDLDRDRUURUURUDLDLDRLDLDRDDDLLULLURDUDDRUUDDUUUUDULLRLLDURLLDUULLRUDLRDLLDRDLDRRRRDLLLULRRUDDLLRRURLLDDRUURULRLLLRDRDDRRDRDULDURRRLLURDUDDRRRRLRRDULRLLULRULLLDRLLLDLUDULDLUULRLRLLURDDUDRRDLLDLRDRLDUDUDLRLLRLDDLLRDLRLDDDUULURRLLLULLULLRRLUDRRLRDRURDRLUDRUDLLLLDRRLDRLRRLRUDULRLUURUDRDDULDLDRLLUURLDDRDDRURRDULUDDUUURRDRURULUDURRUDULDLURDUDDRDDLDRRLUUURRUUUDDRDLDLRDULDDDRRURDDRULDDLUDDURURDRLRDUDRLDRLDRDRDRRLLRRLLDRUUULULLRLDLRDDDUDLURDLDRUDUURRDDURDLULLDDLLUDDLRDUDLLUUDRUDDUUDLRRLURLULUDULULDLDRLLDURLUUUUDRRRDUULDURLRULRRUULULLUDDUULDRDRDDLUDLLULLLLRRULDRRLLLDUURRRULURLRLDRRRDDURDLRULDUUDDDURLDDDRLRRLLRDRUDLDLUUDRLDULLLRULDLUURDUULRRURDDUULUULRRLLLRULRURULRLLRLLDURDDURLUUUURRDDUUDLDRRDRRRDLLDRUURDURDRDRLUDULLLURRUDLDU
Generation 4, Fitness 100: LRLRUDLULLLUDLLRLUURURDUULLDDUDUULDURRUURRLDDDLLRDDURRUULLULUUDRLDURLUDDRLRRULLLLUUDDLUUDDURDDURLULLUUDULURDUDULUURULURULLLDRRDLDLLLULULLURRRDULLDRRUUUDDDUUDUURURDLRLULDDDDDRLRLLURRRDRRUDLDRURLLLRDLLDULLUDUDULRLURRRDURURRRRUUURUDDLRDUULLUDLRRLURDRRRRDRDRRRLRLDLLLUURULLLURDULRDRDRRLDUULLUDDDLLUULLUDLLDLLDDUUDLLRLDLRDRRLDRDDDUDDDULRRRUUDDDRDDRUDLURRDRRDRUUDULLDLLRRDRLLLUULRLULRRRRDULRRDLURDRLLRURULRRRDLURRURDRURUUDLDLDDLUDDRLLULDRURRDLDDUDURRULLLULLLRULULRUDRRLDUDRLURDRLUURLLDULUDLUULDUUUURDRLDURLULLLRRDLUULLRULDUUURLUUDUURRDLDDRLLLLUDDRRRRLDRUULRLUURURRDDLLDLLRLLUURUDDRDLRURRDULUDDUUURRDRURULUDURRUDDLDLURDUDDLDDLDUULUUURRDUUDDRDLDLRDLLDDDRRURDDRURDDLUDDURURRRLRDUDDLULLDLDRDRRLLLRLLDRUUULUULRLDLRDDDUDLURDDDRUDUURRDDURDLUDUDDLLUDDLRRUDLLDUDRUDDUUDLRRLLRLUDUDULULDLDULLDURDURUUDUURDULLDURLRULRRUULRLLUDDUURDUDRUDLUDLLULLLUDRULRRLLLLDRRRRRUDURLRLRRRDDDURDLRUUDUDDRDUULDDLDRRRDLRDRUDRDLUUDRLLULLLRULDLUURLUULLLURDDLURUDLRRLLLRULRURLLRLLRLRDURDDURRUUUURLDDUUDDDRRDRRRDDLDRUURDUDDRDRLUDUDLLDRRLDRDL
Generation 5, Fitness 100: LRLRUDLULLLUDLLRLUURURDUULLDDUDUULDURRUURRLDDDLLRDDURRUULLULUUDRLDURLUDDRLRRULLLLUUDDLUUDDURDDURLULDUUDULURDUDULUURULURULLLDRULDRLLDUUDRRLLLLLRDDLRDRLURUURLDLLLUUDRULURDLLUUDRDURLLDUDUDDRLRRRDLDRUDURULURRLRRDRRULULRUDDLRLDRUUDRDURDDLLDDDDULRLLRLUUUDDLDRLRDRDDUDRRLLDDRLLURRUDLLRLUUULDDUDRRRLLRRLUUDLRLRDRURRDURDRUUUDLUDUDLDDRLRURDUUDRURLRDURDDRDDRDDULURULULDDLUDRRLDRDLRRDLULLUULRRDULRRRLLRDLDLRLDUDUDLUDRRUURULDDLURLDUULRDDDDDLULDLRLRRDRDUULRLULDUDLRRRLURURLDLLDLRLDLRLRLDDDLDLRLLLUDRLRDDDDUUDRRRRLLULUDLRLRLLUDDRRRLURRLDRDLRRLUDDLLLURDURRLDRDLUUDLRLUULRLDRRLUUURUDRDULUURRDUULDLLLRDURRULDUDRLDUUUDRDUURDRDUDULDLURRLDURDRURRULLRRDDDLDRURLLURDDLRRRURRUULULULUURDRRUDLULULLRDURUDDRRRLURRDDLLDLUDUDULDLDDRUURDLLRLDRLURLDRULLUULRRLDRLRLULRDRUDRLRURDUDDLRRRULDLRRRRURLURLLUULDLDRRLDRRUDRUDRRLLLDRRURDDDLRRDRRRDDDDLDLLRRRURULDDLUDRUURUDRDRDRLDUDRLULRRLLLLRDRRUUULRUDULDLUDDRRRUUUUDLUDULLUDDDDRDLULLRLLRLLLRULDLUURDUULLUULDDLURLDLRRLUURULRURLLRLLRLRDURDDULRDRUULLDDUUDDDRRDURRDDLDRDURDUDDRDRLULLRRLDRRRRDDL
Generation 6, Fitness 100: LRLRUDLULLLUDLLRLUURURDUULLDDUDUULDURRUURRLDDDLLRDDURRUULLULUUDRLDURLUDDRLRRULLLLUUDDLUUDDURDDURLULDUUDULURDUDULUURULURULLLDRULDRLLDUUDRRLLLLLRDDLRDRLURUURLDLLLURDRULURDLLUUDRDURLLDUDUDDRLRDRRLDRUDURULURRLRRDLRULULRUDDRRLDRUUDRDURDDLLDUDDULRLLRLUUUDDLDRLRDRDDUDRRLLDDRLLURUUDLLRLUUULDDUDRRRLLRRLUUDLRLRRRURRDURDRUUUDLUDURLDDRLRURDUURRDRLRDURDDRDDRDDULURULULDLLUDRRLLRDLRRDLRLLUULRRDULRRRLLRDLDLRLDUDUDLUDRRUURULDDLDLDDUULRDDDDDLULDLRLRRDRDUULRLULDLDLRRRLUUURLRLLDLRLDLRLRLDDDLUDRLLRUDRLRDDDDUUDRRRRLLRLUDLLLRLLUDDRRRLURRDDRRLRRLUDDLLLURDRRDLDRDLLUULRRUULRLDRRLUUURUDRDULUURRDUULLLLLLDURRDLDUDRLDUUUDRDUURDRDUDULDLUDRLDDRDRUURULLRRDRDLDRURULURDDLLRRURRUDLULULUDRDRRUDLULULLRDURUDDRRRLURRDLLLRLULURUURLDDRRRRDLLRRDRLURLDRULLLULRRLDRLRLULRDRUDRLRURDUDULLDRULULDRRRRRLDRLLUULDRDRRLDRRUDRUDRRLLLDRRURDDDLRRDRDUULRDLLURLLLDULLRRRUURURLDRLRRLRLLULDDDRRULLLLRDRLUULURUDULDLLDURRLUUUUDLULULDUUDDDRDULLLRLLRLDURULLLUURDDURLLULDLLURRDLRDUULUURRURLLRRLRLRDURDRRLRDRRULLDLUUUUDRRDLRRDLLDRURRDUUDRDDLUDRRRLDDRRDDUL
Generation 7, Fitness 101: LRLRUDLULLLUDLLRLUURURDUULLDDUDUULDURRUURRLDDDLLRDDURRUULLULULDDLDURLUDDRLRRUULLLUUDDLUUDDURDDURLULDLUDULURLUDLLUUDDLURULLLDRRDLDLLLULLRLURRRDURLURRUUURDDUUDLURURDLRLLLDDDDDRLLRDDRUURLDLLURDLRRRDLLRRDDULULLUDLRLUDRDDULURRRRUUUDUURLRDDURDUDRLRLULRRRRLDRDLRRLULDLLLUURUULLDRUULRDUDUUUDUUDLLDRDLLUULLUULURLLLULUDDLDUURLUULDDDDRULLUULULULLRRLLULRLDRURUDLRRRRDRLDLLULRRLLRURRDDUDDUURDRLRRRURLLULRRDUDRUDLDRDURUUDDURLRRDLDDRRRLRLRLULRRURLRUDRURUUULLDUUDLDDLUDLURULLLDURURRDRDDRRURULLDURULRULDRLUUUDRDLUUULUDURDRDDRLDRRDRUUDRUUDLRRRURRRLRDRDLUDRLDDLDUUURDUDLURLDDURUDDUURDULDDRUULDDUDUDLURDRRRLRRULRURLDRLRLLRDDRULLUDLLLLLRRDRDDLLLDRDRURRULLLLUDUUDDLRDRRDLDRLRDRRRDRUUDLURLLURDDRURLDDRULURDDLUURDLLLDLDDUURRRURURDLRLUUDRULRDLDDURULUDUUDLUDRDRRDDUDDDUUUDDDRUDDLLRLRLLLDLDLRRLUDULLLULRDDURLULRRDDRLDRDURLDURLLRLURDLDDUDLLDDDLUDULDURURLURLDULLUDDUURLULDDURURRURURURURLDRUDRRDDUDRLRDRRDRULDULUURUUURRDUDLLRULURLUURULRULDRDUDRRDDURULUDDRLUDLURDDRRLRRLUULRUUULDURDRDUDRUDRLUDUDDUDRDUURLULDURDURURLDUUULUUUDRRLLLDL
Generation 8, Fitness 111: LULRLLLLLULLUUULDLDDLLRDRDRDRLDDRLRUURRRRRUUULRDDDDDUUURLDURRLLULDUUDLDLUUDRLRRRDURRRRRDRLRURLRDUUDRUURDRURDRUDLLLDURRDRLRDRLLDLDLDLURLLURDLLRRLLRRRLULRDLLLLLRDRRLRRLDRRLRUDDUDUUUUULRLULRDURDLLDRLUDLDLRRRDRRRDRDRLUULRUURLDLRRUDDLRDUDURURDULULUDLULRRDULUUDRDUDUDLLDURLLRUDRDDDUDDLDRDRLUDRURUURDRLDRDLRRRDLRLDLURRUURUULRDLLUUUDURDDRRRURUDURLLDURULDLLDRUDDDRDDLRLLLURURRRRRLURRDRDRLLRDURRLLRULULLDURLURDLRUDULRDLDRLDRUDLLUDLLRRRRDDDDRRDRUURUURLDLRULDULRLUURUUURDUURLURURDLDRRDLRRURRDLLUUURDDUUDLRLUUUDLULRRLUDULULLLRDDRRLDDDURRLDDLDDRULLDRDDLLLDLLRLLRDDULUUDLRLLUUDRLULURDRURDLDLUDRRLRDUDRDRLURUUUURDLDDUUDRRDLLURLDRLDRDLRLDLULRRUDURLURRRRDDLDDRDLDLRRULRURDLLURLULDDUULDLRLULRLLDUDDRUUUULDDDRLUDLUDDDRLDLRULDUDDDUURDDDDDURDUDDDRLDUUDDUDLLDRRRDUUUDUDRULDRLRLLDLRDLUUDULLULLLUURDDRURLRDRUDDRRDDLRRDLULURLLLDDDUURRRULDLLRURDUURRUDRDLLLDULDRLULLDDLDRDRUDULDUUURRLLDLRUURDLDDUURRDURLLDDUURRUULUDDLLLLLLLRDDLDDLUUDURDDULDLLDULLLDDLDURRULDLURDLRDDDRRUUURRLDDDLLDLDULRRRLRRDLUDLDRRLRRLRRDURRULDUURUDDRDDULUUUURD
Generation 9, Fitness 111: LULRLLLLLULLUUULDLDDLLRDRDRDRLDDRLRUURRRRRUUULRDDDDDUUURLDURRLLULDUUDLDLUUDRLRRRDURRRRRDRLRURLRDUUDRUURDRURDRUDLLLDURRDRLRDRLLDLDLDLURLLURDLLRRLLRRRLULRDLLLLLRDRRLRRLDRRLRUDDUDUUUUULRLULRDURDLLDRLUDLDLRRRDRRRDRDRLUULRUURLDLRRUDDLRDUDURURDULULUDLULRRDULUUDRDUDUDLLDURLLRUDRDDDUDDLDRDRLUDRURUURDRLDRDLRRRDLRLDLURRUURUULRDLLUUUDURDDRRRURUDURLLDURULDLLDRUDDDRDDLRLLLURURRRRRLURRDRDRLLRDURRLLRULULLDURLURDLRUDULRDLDRLDRUDLLUDLLRRRRDDDDRRDRUURUURLDLRULDULRLUURUUURDUURLURURDLDRRDLRRURRDLLUUURDDUUDLRLUUUDLULRRLUDULULLLRDDRRLDDDURRLDDLDDRULLDRDDLLLDLLRLLRDDULUUDLRLLUUDRLULURDRURDLDLUDRRLRDUDRDRLURUUUURDLDDUUDRRDLLURLDRLDRDLRLDLULRRUDURLURRRRDDLDDRDLDLRRULRURDLLURLULDDUULDLRLULRLLDUDDRUUUULDDDRLUDLUDDDRLDLRULDUDDDUURDDDDDURDUDDDRLDUUDDUDLLDRRRDUUUDUDRULDRLRLLDLRDLUUDULLULLLUURDDRURLRDRUDDRRDDLRRDLULURLLLDDDUURRRULDLLRURDUURRUDRDLLLDULDRLULLDDLDRDRUDULDUUURRLLDLRUURDLDDUURRDURLLDDUURRUULUDDLLLLLLLRDDLDDLUUDURDDULDLLDULLLDDLDURRULDLURDLRDDDRRUUURRLDDDLLDLDULRRRLRRDLUDLDRRLRRLRRDURRULDUURUDDRDDULUUUURD
Generation 10, Fitness 111: LULRLLLLLULLUUULDLDDLLRDRDRDRLDDRLRUURRRRRUUULRDDDDDUUURLDURRLLULDUUDLDLUUDRLRRRDURRRRRDRLRURLRDUUDRUURDRURDRUDLLLDURRDRLRDRLLDLDLDLURLLURDLLRRLLRRRLULRDLLLLLRDRRLRRLDRRLRUDDUDUUUUULRLULRDURDLLDRLUDLDLRRRDRRRDRDRLUULRUURLDLRRUDDLRDUDURURDULULUDLULRRDULUUDRDUDUDLLDURLLRUDRDDDUDDLDRDRLUDRURUURDRLDRDLRRRDLRLDLURRUURUULRDLLUUUDURDDRRRURUDURLLDURULDLLDRUDDDRDDLRLLLURURRRRRLURRDRDRLLRDURRLLRULULLDURLURDLRUDULRDLDRLDRUDLLUDLLRRRRDDDDRRDRUURUURLDLRULDULRLUURUUURDUURLURURDLDRRDLRRURRDLLUUURDDUUDLRLUUUDLULRRLUDULULLLRDDRRLDDDURRLDDLDDRULLDRDDLLLDLLRLLRDDULUUDLRLLUUDRLULURDRURDLDLUDRRLRDUDRDRLURUUUURDLDDUUDRRDLLURLDRLDRDLRLDLULRRUDURLURRRRDDLDDRDLDLRRULRURDLLURLULDDUULDLRLULRLLDUDDRUUUULDDDRLUDLUDDDRLDLRULDUDDDUURDDDDDURDUDDDRLDUUDDUDLLDRRRDUUUDUDRULDRLRLLDLRDLUUDULLULLLUURDDRURLRDRUDDRRDDLRRDLULURLLLDDDUURRRULDLLRURDUURRUDRDLLLDULDRLULLDDLDRDRUDULDUUURRLLDLRUURDLDDUURRDURLLDDUURRUULUDDLLLLLLLRDDLDDLUUDURDDULDLLDULLLDDLDURRULDLURDLRDDDRRUUURRLDDDLLDLDULRRRLRRDLUDLDRRLRRLRRDURRULDUURUDDRDDULUUUURD
Generation 11, Fitness 123: LRLRUDLULLLUDLLRLUURURDUULLDDUDUULDURRUURRLDDDLLDDDURRDULLULULDDLDURLUDDRLRRUULLLUUUDLUUDDLRDDDRLULDLUDURURLUDLLUUDDLURUDLLDRRDLDLLLULLRLURRRDURLURRUUURDDUUDLURLRDLRLLLDDDDDLLLRDDURUDLDLLURDLRRRDLLLRDDULULLUDLRLUDRDDULURRRRURUDUULLRDDUULUDRLRLULDRUUDDRDLRRLLLULLUUURDLLUDRURDRDUUUULDUUDDLDLDLLURLLUULLRRLRULUDDLDUURLLDLDDDDRULRUULDLULDRULRRLUDDRURUDLDRLRDRDDLLUURLLLRUURUDUDUUURDRLUULUDLRULRRRUDUDDRLRDURUDDDURLRRDRDDRRULRLLLUDRRURLLUDRUUDUULLDUDDLDULLULULULRLDRDURRLRDRRUURULLDURLRDDDDURDUULUDDRRURRURLRDURLLRDRLDURUUDULDLDDURRRLDLULUDULLRLULRLDLDURRLULLDDULRDLLLDRLDLLLURLDRURRLURUUURLUDLDRLDRDLDLLDURLRDLDDDLRDULLDDDUDULDUDRRDUDURRRRRLDULRDLLDRRUDDDDRDRURRDUDLRRDLRULDDUDULRRDDLULDLRUUURDDDDDDLUDURULULLDUUDRRRLURDLDDLRRULDUDRDRRLUUDDDUUDLRDURLLRUUDLLLRUDUDURDULURLULRLDUULDLDLDUULLUDRRRLDDDLURUDRDRDUDUDUDDRRLDRLRRLLDDUDRDLURDLLDRULDRLDDUDURLUUDLUDRRLRLLRDLUDUUULLUUUDUDLUURLRLRURULDLDRRUUUURULDDRLDDRUULUDRUDUULRURDLRLDLLLDLLURUUDRRDLRUUDURDLDUDULDRRLUDLRLRRLLURUDUDRLUDDUDLLRDLUDUDLLLLUDRRRDLRD
