Best genes by generation:
Generation 1, Fitness 214: RRRUDRURRULULDUDUULRDUUURRULULLURLUURRULRRDDDLRLRRULRRUULRLLULLDLDURLUUDRRRRURLLUULDRLULLDDULDLRUULULUUDLLDDUDURUURDRLRURLLDDLDLRLLRLLLRLDDRDDUDLDRDLLDRDRURDRLUURDDRURRUDLUULLDUUUDDLDLLLDUUDDLLURULLLULLRUDDURDRRUDLLDLULDRULDRDDRLRUDDLLRDDUDRLLULURDDDLUULRRRDLDDDULLDURRUUUURUUULRURLUDUUDULRLUUURDDRURURLLULDRDRULDRDDLLRURDDULUUULLULDDLRLLUUUUURDURULRUULRDLLLURLURUUUDDLUDDDRDRRULURRURRLDRULRLRLRUURUURUDLULUDDRRLULDRLLLDLLRURRUDURDULLRLRRRLRLLUDLLDRLRDDLULRRRDDLURRULUULLURDRDURRURUUDRUURLRUDRLLRURRUDDRDLRRRLUUURRRDRUULRUDURRUUDDRLRLDUDULRDDRDDRLULLRURDURDURUDRLLDULUUURRLUDRRURULDRLDDRDUDRUDRRDRLUDURURLLDUURUUDDRDLUULRRULRRUURUDRUUDDLLULLLDDLLLULLDDRUDUDLDULRUURDLDLLURRRDRURDURDDDLRLUDRRDDURURUDLLULDUDULDRDLRDRRDDLDLUDURULRLUDUURDLLLULLLRDLRDLRRRULULDDLUULDDDULDDRDUDUDULDLDDURLUDLRUDRRUDLLUUDRUUULRRURRULDULRDDUDDUDRDDUDLUUDDUUDLDDLDDUURRRDUDLRURLDURUUDDRLDURRDULURDRRUUUDLRUURLLUULDRRURRUULRULURURUUURLDDLRLLDRDLUDURUURDRDRULDUDLLLDRUUDLUDDRRLURRRRRRLDDRUDDULLDDUDRURRLUUDDLUULUDLLUDRLUDLULDUL
Generation 2, Fitness 214: RRRUDRURRULULDUDUULRDUUURRULULLURLUURRULRRDDDLRLRRULRRUULRLLULLDLDURLUUDRRRRURLLUULDRLULLDDULDLRUULULUUDLLDDUDURUURDRLRURLLDDLDLRLLRLLLRLDDRDDUDLDRDLLDRDRURDRLUURDDRURRUDLUULLDUUUDDLDLLLDUUDDLLURULLLULLRUDDURDRRUDLLDLULDRULDRDDRLRUDDLLRDDUDRLLULURDDDLUULRRRDLDDDULLDURRUUUURUUULRURLUDUUDULRLUUURDDRURURLLULDRDRULDRDDLLRURDDULUUULLULDDLRLLUUUUURDURULRUULRDLLLURLURUUUDDLUDDDRDRRULURRURRLDRULRLRLRUURUURUDLULUDDRRLULDRLLLDLLRURRUDURDULLRLRRRLRLLUDLLDRLRDDLULRRRDDLURRULUULLURDRDURRURUUDRUURLRUDRLLRURRUDDRDLRRRLUUURRRDRUULRUDURRUUDDRLRLDUDULRDDRDDRLULLRURDURDURUDRLLDULUUURRLUDRRURULDRLDDRDUDRUDRRDRLUDURURLLDUURUUDDRDLUULRRULRRUURUDRUUDDLLULLLDDLLLULLDDRUDUDLDULRUURDLDLLURRRDRURDURDDDLRLUDRRDDURURUDLLULDUDULDRDLRDRRDDLDLUDURULRLUDUURDLLLULLLRDLRDLRRRULULDDLUULDDDULDDRDUDUDULDLDDURLUDLRUDRRUDLLUUDRUUULRRURRULDULRDDUDDUDRDDUDLUUDDUUDLDDLDDUURRRDUDLRURLDURUUDDRLDURRDULURDRRUUUDLRUURLLUULDRRURRUULRULURURUUURLDDLRLLDRDLUDURUURDRDRULDUDLLLDRUUDLUDDRRLURRRRRRLDDRUDDULLDDUDRURRLUUDDLUULUDLLUDRLUDLULDUL
Generation 3, Fitness 214: RRRUDRURRULULDUDUULRDUUURRULULLURLUURRULRRDDDLRLRRULRRUULRLLULLDLDURLUUDRRRRURLLUULDRLULLDDULDLRUULULUUDLLDDUDURUURDRLRURLLDDLDLRLLRLLLRLDDRDDUDLDRDLLDRDRURDRLUURDDRURRUDLUULLDUUUDDLDLLLDUUDDLLURULLLULLRUDDURDRRUDLLDLULDRULDRDDRLRUDDLLRDDUDRLLULURDDDLUULRRRDLDDDULLDURRUUUURUUULRURLUDUUDULRLUUURDDRURURLLULDRDRULDRDDLLRURDDULUUULLULDDLRLLUUUUURDURULRUULRDLLLURLURUUUDDLUDDDRDRRULURRURRLDRULRLRLRUURUURUDLULUDDRRLULDRLLLDLLRURRUDURDULLRLRRRLRLLUDLLDRLRDDLULRRRDDLURRULUULLURDRDURRURUUDRUURLRUDRLLRURRUDDRDLRRRLUUURRRDRUULRUDURRUUDDRLRLDUDULRDDRDDRLULLRURDURDURUDRLLDULUUURRLUDRRURULDRLDDRDUDRUDRRDRLUDURURLLDUURUUDDRDLUULRRULRRUURUDRUUDDLLULLLDDLLLULLDDRUDUDLDULRUURDLDLLURRRDRURDURDDDLRLUDRRDDURURUDLLULDUDULDRDLRDRRDDLDLUDURULRLUDUURDLLLULLLRDLRDLRRRULULDDLUULDDDULDDRDUDUDULDLDDURLUDLRUDRRUDLLUUDRUUULRRURRULDULRDDUDDUDRDDUDLUUDDUUDLDDLDDUURRRDUDLRURLDURUUDDRLDURRDULURDRRUUUDLRUURLLUULDRRURRUULRULURURUUURLDDLRLLDRDLUDURUURDRDRULDUDLLLDRUUDLUDDRRLURRRRRRLDDRUDDULLDDUDRURRLUUDDLUULUDLLUDRLUDLULDUL
Generation 4, Fitness 214: RRRUDRURRULULDUDUULRDUUURRULULLURLUURRULRRDDDLRLRRULRRUULRLLULLDLDURLUUDRRRRURLLUULDRLULLDDULDLRUULULUUDLLDDUDURUURDRLRURLLDDLDLRLLRLLLRLDDRDDUDLDRDLLDRDRURDRLUURDDRURRUDLUULLDUUUDDLDLLLDUUDDLLURULLLULLRUDDURDRRUDLLDLULDRULDRDDRLRUDDLLRDDUDRLLULURDDDLUULRRRDLDDDULLDURRUUUURUUULRURLUDUUDULRLUUURDDRURURLLULDRDRULDRDDLLRURDDULUUULLULDDLRLLUUUUURDURULRUULRDLLLURLURUUUDDLUDDDRDRRULURRURRLDRULRLRLRUURUURUDLULUDDRRLULDRLLLDLLRURRUDURDULLRLRRRLRLLUDLLDRLRDDLULRRRDDLURRULUULLURDRDURRURUUDRUURLRUDRLLRURRUDDRDLRRRLUUURRRDRUULRUDURRUUDDRLRLDUDULRDDRDDRLULLRURDURDURUDRLLDULUUURRLUDRRURULDRLDDRDUDRUDRRDRLUDURURLLDUURUUDDRDLUULRRULRRUURUDRUUDDLLULLLDDLLLULLDDRUDUDLDULRUURDLDLLURRRDRURDURDDDLRLUDRRDDURURUDLLULDUDULDRDLRDRRDDLDLUDURULRLUDUURDLLLULLLRDLRDLRRRULULDDLUULDDDULDDRDUDUDULDLDDURLUDLRUDRRUDLLUUDRUUULRRURRULDULRDDUDDUDRDDUDLUUDDUUDLDDLDDUURRRDUDLRURLDURUUDDRLDURRDULURDRRUUUDLRUURLLUULDRRURRUULRULURURUUURLDDLRLLDRDLUDURUURDRDRULDUDLLLDRUUDLUDDRRLURRRRRRLDDRUDDULLDDUDRURRLUUDDLUULUDLLUDRLUDLULDUL
Generation 5, Fitness 214: RRRUDRURRULULDUDUULRDUUURRULULLURLUURRULRRDDDLRLRRULRRUULRLLULLDLDURLUUDRRRRURLLUULDRLULLDDULDLRUULULUUDLLDDUDURUURDRLRURLLDDLDLRLLRLLLRLDDRDDUDLDRDLLDRDRURDRLUURDDRURRUDLUULLDUUUDDLDLLLDUUDDLLURULLLULLRUDDURDRRUDLLDLULDRULDRDDRLRUDDLLRDDUDRLLULURDDDLUULRRRDLDDDULLDURRUUUURUUULRURLUDUUDULRLUUURDDRURURLLULDRDRULDRDDLLRURDDULUUULLULDDLRLLUUUUURDURULRUULRDLLLURLURUUUDDLUDDDRDRRULURRURRLDRULRLRLRUURUURUDLULUDDRRLULDRLLLDLLRURRUDURDULLRLRRRLRLLUDLLDRLRDDLULRRRDDLURRULUULLURDRDURRURUUDRUURLRUDRLLRURRUDDRDLRRRLUUURRRDRUULRUDURRUUDDRLRLDUDULRDDRDDRLULLRURDURDURUDRLLDULUUURRLUDRRURULDRLDDRDUDRUDRRDRLUDURURLLDUURUUDDRDLUULRRULRRUURUDRUUDDLLULLLDDLLLULLDDRUDUDLDULRUURDLDLLURRRDRURDURDDDLRLUDRRDDURURUDLLULDUDULDRDLRDRRDDLDLUDURULRLUDUURDLLLULLLRDLRDLRRRULULDDLUULDDDULDDRDUDUDULDLDDURLUDLRUDRRUDLLUUDRUUULRRURRULDULRDDUDDUDRDDUDLUUDDUUDLDDLDDUURRRDUDLRURLDURUUDDRLDURRDULURDRRUUUDLRUURLLUULDRRURRUULRULURURUUURLDDLRLLDRDLUDURUURDRDRULDUDLLLDRUUDLUDDRRLURRRRRRLDDRUDDULLDDUDRURRLUUDDLUULUDLLUDRLUDLULDUL
Generation 6, Fitness 214: RRRUDRURRULULDUDUULRDUUURRULULLURLUURRULRRDDDLRLRRULRRUULRLLULLDLDURLUUDRRRRURLLUULDRLULLDDULDLRUULULUUDLLDDUDURUURDRLRURLLDDLDLRLLRLLLRLDDRDDUDLDRDLLDRDRURDRLUURDDRURRUDLUULLDUUUDDLDLLLDUUDDLLURULLLULLRUDDURDRRUDLLDLULDRULDRDDRLRUDDLLRDDUDRLLULURDDDLUULRRRDLDDDULLDURRUUUURUUULRURLUDUUDULRLUUURDDRURURLLULDRDRULDRDDLLRURDDULUUULLULDDLRLLUUUUURDURULRUULRDLLLURLURUUUDDLUDDDRDRRULURRURRLDRULRLRLRUURUURUDLULUDDRRLULDRLLLDLLRURRUDURDULLRLRRRLRLLUDLLDRLRDDLULRRRDDLURRULUULLURDRDURRURUUDRUURLRUDRLLRURRUDDRDLRRRLUUURRRDRUULRUDURRUUDDRLRLDUDULRDDRDDRLULLRURDURDURUDRLLDULUUURRLUDRRURULDRLDDRDUDRUDRRDRLUDURURLLDUURUUDDRDLUULRRULRRUURUDRUUDDLLULLLDDLLLULLDDRUDUDLDULRUURDLDLLURRRDRURDURDDDLRLUDRRDDURURUDLLULDUDULDRDLRDRRDDLDLUDURULRLUDUURDLLLULLLRDLRDLRRRULULDDLUULDDDULDDRDUDUDULDLDDURLUDLRUDRRUDLLUUDRUUULRRURRULDULRDDUDDUDRDDUDLUUDDUUDLDDLDDUURRRDUDLRURLDURUUDDRLDURRDULURDRRUUUDLRUURLLUULDRRURRUULRULURURUUURLDDLRLLDRDLUDURUURDRDRULDUDLLLDRUUDLUDDRRLURRRRRRLDDRUDDULLDDUDRURRLUUDDLUULUDLLUDRLUDLULDUL
Generation 7, Fitness 214: RRRUDRURRULULDUDUULRDUUURRULULLURLUURRULRRDDDLRLRRULRRUULRLLULLDLDURLUUDRRRRURLLUULDRLULLDDULDLRUULULUUDLLDDUDURUURDRLRURLLDDLDLRLLRLLLRLDDRDDUDLDRDLLDRDRURDRLUURDDRURRUDLUULLDUUUDDLDLLLDUUDDLLURULLLULLRUDDURDRRUDLLDLULDRULDRDDRLRUDDLLRDDUDRLLULURDDDLUULRRRDLDDDULLDURRUUUURUUULRURLUDUUDULRLUUURDDRURURLLULDRDRULDRDDLLRURDDULUUULLULDDLRLLUUUUURDURULRUULRDLLLURLURUUUDDLUDDDRDRRULURRURRLDRULRLRLRUURUURUDLULUDDRRLULDRLLLDLLRURRUDURDULLRLRRRLRLLUDLLDRLRDDLULRRRDDLURRULUULLURDRDURRURUUDRUURLRUDRLLRURRUDDRDLRRRLUUURRRDRUULRUDURRUUDDRLRLDUDULRDDRDDRLULLRURDURDURUDRLLDULUUURRLUDRRURULDRLDDRDUDRUDRRDRLUDURURLLDUURUUDDRDLUULRRULRRUURUDRUUDDLLULLLDDLLLULLDDRUDUDLDULRUURDLDLLURRRDRURDURDDDLRLUDRRDDURURUDLLULDUDULDRDLRDRRDDLDLUDURULRLUDUURDLLLULLLRDLRDLRRRULULDDLUULDDDULDDRDUDUDULDLDDURLUDLRUDRRUDLLUUDRUUULRRURRULDULRDDUDDUDRDDUDLUUDDUUDLDDLDDUURRRDUDLRURLDURUUDDRLDURRDULURDRRUUUDLRUURLLUULDRRURRUULRULURURUUURLDDLRLLDRDLUDURUURDRDRULDUDLLLDRUUDLUDDRRLURRRRRRLDDRUDDULLDDUDRURRLUUDDLUULUDLLUDRLUDLULDUL
Generation 8, Fitness 214: RRRUDRURRULULDUDUULRDUUURRULULLURLUURRULRRDDDLRLRRULRRUULRLLULLDLDURLUUDRRRRURLLUULDRLULLDDULDLRUULULUUDLLDDUDURUURDRLRURLLDDLDLRLLRLLLRLDDRDDUDLDRDLLDRDRURDRLUURDDRURRUDLUULLDUUUDDLDLLLDUUDDLLURULLLULLRUDDURDRRUDLLDLULDRULDRDDRLRUDDLLRDDUDRLLULURDDDLUULRRRDLDDDULLDURRUUUURUUULRURLUDUUDULRLUUURDDRURURLLULDRDRULDRDDLLRURDDULUUULLULDDLRLLUUUUURDURULRUULRDLLLURLURUUUDDLUDDDRDRRULURRURRLDRULRLRLRUURUURUDLULUDDRRLULDRLLLDLLRURRUDURDULLRLRRRLRLLUDLLDRLRDDLULRRRDDLURRULUULLURDRDURRURUUDRUURLRUDRLLRURRUDDRDLRRRLUUURRRDRUULRUDURRUUDDRLRLDUDULRDDRDDRLULLRURDURDURUDRLLDULUUURRLUDRRURULDRLDDRDUDRUDRRDRLUDURURLLDUURUUDDRDLUULRRULRRUURUDRUUDDLLULLLDDLLLULLDDRUDUDLDULRUURDLDLLURRRDRURDURDDDLRLUDRRDDURURUDLLULDUDULDRDLRDRRDDLDLUDURULRLUDUURDLLLULLLRDLRDLRRRULULDDLUULDDDULDDRDUDUDULDLDDURLUDLRUDRRUDLLUUDRUUULRRURRULDULRDDUDDUDRDDUDLUUDDUUDLDDLDDUURRRDUDLRURLDURUUDDRLDURRDULURDRRUUUDLRUURLLUULDRRURRUULRULURURUUURLDDLRLLDRDLUDURUURDRDRULDUDLLLDRUUDLUDDRRLURRRRRRLDDRUDDULLDDUDRURRLUUDDLUULUDLLUDRLUDLULDUL
Generation 9, Fitness 214: RRRUDRURRULULDUDUULRDUUURRULULLURLUURRULRRDDDLRLRRULRRUULRLLULLDLDURLUUDRRRRURLLUULDRLULLDDULDLRUULULUUDLLDDUDURUURDRLRURLLDDLDLRLLRLLLRLDDRDDUDLDRDLLDRDRURDRLUURDDRURRUDLUULLDUUUDDLDLLLDUUDDLLURULLLULLRUDDURDRRUDLLDLULDRULDRDDRLRUDDLLRDDUDRLLULURDDDLUULRRRDLDDDULLDURRUUUURUUULRURLUDUUDULRLUUURDDRURURLLULDRDRULDRDDLLRURDDULUUULLULDDLRLLUUUUURDURULRUULRDLLLURLURUUUDDLUDDDRDRRULURRURRLDRULRLRLRUURUURUDLULUDDRRLULDRLLLDLLRURRUDURDULLRLRRRLRLLUDLLDRLRDDLULRRRDDLURRULUULLURDRDURRURUUDRUURLRUDRLLRURRUDDRDLRRRLUUURRRDRUULRUDURRUUDDRLRLDUDULRDDRDDRLULLRURDURDURUDRLLDULUUURRLUDRRURULDRLDDRDUDRUDRRDRLUDURURLLDUURUUDDRDLUULRRULRRUURUDRUUDDLLULLLDDLLLULLDDRUDUDLDULRUURDLDLLURRRDRURDURDDDLRLUDRRDDURURUDLLULDUDULDRDLRDRRDDLDLUDURULRLUDUURDLLLULLLRDLRDLRRRULULDDLUULDDDULDDRDUDUDULDLDDURLUDLRUDRRUDLLUUDRUUULRRURRULDULRDDUDDUDRDDUDLUUDDUUDLDDLDDUURRRDUDLRURLDURUUDDRLDURRDULURDRRUUUDLRUURLLUULDRRURRUULRULURURUUURLDDLRLLDRDLUDURUURDRDRULDUDLLLDRUUDLUDDRRLURRRRRRLDDRUDDULLDDUDRURRLUUDDLUULUDLLUDRLUDLULDUL
Generation 10, Fitness 214: RRRUDRURRULULDUDUULRDUUURRULULLURLUURRULRRDDDLRLRRULRRUULRLLULLDLDURLUUDRRRRURLLUULDRLULLDDULDLRUULULUUDLLDDUDURUURDRLRURLLDDLDLRLLRLLLRLDDRDDUDLDRDLLDRDRURDRLUURDDRURRUDLUULLDUUUDDLDLLLDUUDDLLURULLLULLRUDDURDRRUDLLDLULDRULDRDDRLRUDDLLRDDUDRLLULURDDDLUULRRRDLDDDULLDURRUUUURUUULRURLUDUUDULRLUUURDDRURURLLULDRDRULDRDDLLRURDDULUUULLULDDLRLLUUUUURDURULRUULRDLLLURLURUUUDDLUDDDRDRRULURRURRLDRULRLRLRUURUURUDLULUDDRRLULDRLLLDLLRURRUDURDULLRLRRRLRLLUDLLDRLRDDLULRRRDDLURRULUULLURDRDURRURUUDRUURLRUDRLLRURRUDDRDLRRRLUUURRRDRUULRUDURRUUDDRLRLDUDULRDDRDDRLULLRURDURDURUDRLLDULUUURRLUDRRURULDRLDDRDUDRUDRRDRLUDURURLLDUURUUDDRDLUULRRULRRUURUDRUUDDLLULLLDDLLLULLDDRUDUDLDULRUURDLDLLURRRDRURDURDDDLRLUDRRDDURURUDLLULDUDULDRDLRDRRDDLDLUDURULRLUDUURDLLLULLLRDLRDLRRRULULDDLUULDDDULDDRDUDUDULDLDDURLUDLRUDRRUDLLUUDRUUULRRURRULDULRDDUDDUDRDDUDLUUDDUUDLDDLDDUURRRDUDLRURLDURUUDDRLDURRDULURDRRUUUDLRUURLLUULDRRURRUULRULURURUUURLDDLRLLDRDLUDURUURDRDRULDUDLLLDRUUDLUDDRRLURRRRRRLDDRUDDULLDDUDRURRLUUDDLUULUDLLUDRLUDLULDUL
Generation 11, Fitness 214: RRRUDRURRULULDUDUULRDUUURRULULLURLUURRULRRDDDLRLRRULRRUULRLLULLDLDURLUUDRRRRURLLUULDRLULLDDULDLRUULULUUDLLDDUDURUURDRLRURLLDDLDLRLLRLLLRLDDRDDUDLDRDLLDRDRURDRLUURDDRURRUDLUULLDUUUDDLDLLLDUUDDLLURULLLULLRUDDURDRRUDLLDLULDRULDRDDRLRUDDLLRDDUDRLLULURDDDLUULRRRDLDDDULLDURRUUUURUUULRURLUDUUDULRLUUURDDRURURLLULDRDRULDRDDLLRURDDULUUULLULDDLRLLUUUUURDURULRUULRDLLLURLURUUUDDLUDDDRDRRULURRURRLDRULRLRLRUURUURUDLULUDDRRLULDRLLLDLLRURRUDURDULLRLRRRLRLLUDLLDRLRDDLULRRRDDLURRULUULLURDRDURRURUUDRUURLRUDRLLRURRUDDRDLRRRLUUURRRDRUULRUDURRUUDDRLRLDUDULRDDRDDRLULLRURDURDURUDRLLDULUUURRLUDRRURULDRLDDRDUDRUDRRDRLUDURURLLDUURUUDDRDLUULRRULRRUURUDRUUDDLLULLLDDLLLULLDDRUDUDLDULRUURDLDLLURRRDRURDURDDDLRLUDRRDDURURUDLLULDUDULDRDLRDRRDDLDLUDURULRLUDUURDLLLULLLRDLRDLRRRULULDDLUULDDDULDDRDUDUDULDLDDURLUDLRUDRRUDLLUUDRUUULRRURRULDULRDDUDDUDRDDUDLUUDDUUDLDDLDDUURRRDUDLRURLDURUUDDRLDURRDULURDRRUUUDLRUURLLUULDRRURRUULRULURURUUURLDDLRLLDRDLUDURUURDRDRULDUDLLLDRUUDLUDDRRLURRRRRRLDDRUDDULLDDUDRURRLUUDDLUULUDLLUDRLUDLULDUL
